Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,r0-qIgn,r1-qIgn,p0-rho,p1-rho,
-1,0,8.21e+12,8.19e+13,1.0,0.0,2722.2336339146623,3571.636037305807,0.15078601461843186,0.761612881628865,1.34e+05,3.50e+05,178128.7264166879,430099.35013556835,11739.842638350754,100000000.0,0.0005671397466992529,0.6112814586237276,0.2891630451425671,0.8172426007912228,0.94,0.8857977067960159,0.16400361750533807,1.3646271465919223e-05,8.796372019143168e-05,1.2224416259128987,1.5139447780189224,0.0,0.0,20.783502454899377,16.279482249566946,1683.0,1235.0,
0,187.3990,4.44e+12,8.39e+13,1.0,0.0,1826.0137982234855,2355.3141833324853,0.08639290287477217,0.3934847827093704,1.53e+05,1.40e+05,227862.5679249693,366946.0440805268,22701.14188827351,100000000.0,0.0005086956637197418,0.5203201307787558,0.6047144345538905,0.6221411383261086,0.94,0.6314069241651231,0.10904302117572438,6.501828202081276e-05,0.0006450295258698462,2.7587207571556718,2.8662965430890552,0.0,0.0,20.32871436496249,21.063533390944468,1683.0,1235.0,
1,442.8880,3.49e+12,8.07e+13,1.0,0.0,2493.661977681598,2612.110024909798,0.08677705349855641,0.5622595576308502,1.34e+05,2.51e+05,305830.384249359,467143.10915786435,32570.64664901905,100000000.0,0.0004410715612506562,0.5606147498853782,0.6247472905027378,0.8125603075040189,0.94,0.4052031008864042,0.2010781450911665,5.7773286531099144e-05,0.0004431173683380619,2.5903946368252173,3.2461076320547324,0.0,0.0,18.156846096586214,21.213689377415633,1683.0,1235.0,
2,720.8480,3.49e+12,8.07e+13,1.0,0.0,2493.661977681598,2612.110024909798,0.08677705349855641,0.5622595576308502,1.34e+05,2.51e+05,305830.384249359,467143.10915786435,32570.64664901905,100000000.0,0.0004410715612506562,0.5606147498853782,0.6247472905027378,0.8125603075040189,0.94,0.4052031008864042,0.2010781450911665,5.7773286531099144e-05,0.0004431173683380619,2.5903946368252173,3.2461076320547324,0.0,0.0,18.156846096586214,21.213689377415633,1683.0,1235.0,
3,1022.8870,5.37e+12,1.60e+14,1.0,0.0,1308.1913696798183,2541.1841982387473,0.11835312067165996,0.5188310427407914,1.47e+05,3.31e+05,245618.57398522866,520134.8088735571,13115.051081179614,100000000.0,0.00041053915660459677,0.5599183102277085,0.6716939080096271,0.5645523112354528,0.94,0.3391498904556366,0.10963667678751685,6.966753076315615e-05,0.0002563595045936032,1.401101975677701,3.278905257987512,0.0,0.0,21.980941000961206,19.45195493038326,1683.0,1235.0,
4,1340.8720,3.47e+12,1.12e+14,1.0,0.0,1508.6197727397112,2426.1951864901603,0.07509485725256743,0.6120333322891709,1.43e+05,1.60e+05,220231.1034763464,498484.0659204042,22138.143608877366,100000000.0,0.00035541608805270125,0.5992209105252038,0.589127713011746,0.6578974210731552,0.94,0.40563250467411904,0.15344319249737048,6.301546839376674e-05,0.0003980135375226941,2.0977358990888684,3.5427215329116035,0.0,0.0,20.67684238761948,20.028788580704692,1683.0,1235.0,
5,1664.8040,3.93e+12,1.29e+14,1.0,0.0,2000.5496194056632,2459.693054661343,0.10357300970565657,0.5374447675007066,1.36e+05,2.29e+05,216662.73618784262,463036.1108890477,21317.945947467586,100000000.0,0.00030619437257338905,0.573353600840207,0.576381975674698,0.669625008521729,0.94,0.42485786420680316,0.11791987157071034,6.247952435498587e-05,0.00038327451463754034,2.058507939443574,3.007646368500753,0.0,0.0,20.743899318619473,19.315607189978365,1683.0,1235.0,
6,1970.2910,3.93e+12,1.29e+14,1.0,0.0,2000.5496194056632,2459.693054661343,0.10357300970565657,0.5374447675007066,1.36e+05,2.29e+05,216662.73618784262,463036.1108890477,21317.945947467586,100000000.0,0.00030619437257338905,0.573353600840207,0.576381975674698,0.669625008521729,0.94,0.42485786420680316,0.11791987157071034,6.247952435498587e-05,0.00038327451463754034,2.058507939443574,3.007646368500753,0.0,0.0,20.743899318619473,19.315607189978365,1683.0,1235.0,
7,2308.9890,3.82e+12,1.15e+14,1.0,0.0,1630.4725836258854,2400.8640599403757,0.08996139734271211,0.531803223684356,1.42e+05,2.14e+05,224227.46346659638,459858.288748055,20433.051394274542,100000000.0,0.00021003580948660214,0.5931438107115026,0.5275999990065209,0.6603590820722878,0.94,0.4576550307975159,0.11610937629165746,6.254305742302064e-05,0.0004065783670632808,2.0082026488455407,3.136007716109418,0.0,0.0,20.531533993269218,20.05804650389434,1683.0,1235.0,
8,2636.4190,3.82e+12,1.15e+14,1.0,0.0,1630.4725836258854,2400.8640599403757,0.08996139734271211,0.531803223684356,1.42e+05,2.14e+05,224227.46346659638,459858.288748055,20433.051394274542,100000000.0,0.00021003580948660214,0.5931438107115026,0.5275999990065209,0.6603590820722878,0.94,0.4576550307975159,0.11610937629165746,6.254305742302064e-05,0.0004065783670632808,2.0082026488455407,3.136007716109418,0.0,0.0,20.531533993269218,20.05804650389434,1683.0,1235.0,
9,2981.1480,3.78e+12,1.08e+14,1.0,0.0,1678.4539273387297,2324.68665053338,0.08513648665923891,0.5352178794052029,1.43e+05,1.86e+05,207980.56744322617,479606.54018862144,21973.142808285338,100000000.0,0.00018550028844111765,0.5883801642290909,0.5578495241140462,0.6645326920481307,0.94,0.44039554759393784,0.12427286377850648,6.600008000896064e-05,0.0003975866247825058,1.9791662999935162,3.2884432754236164,0.0,0.0,20.264776663325136,19.657237266397495,1683.0,1235.0,
10,3310.2982,3.48e+12,1.16e+14,1.0,0.0,1757.25696008979,2406.9159071988684,0.09676116086651668,0.5497410170923379,1.40e+05,1.89e+05,212035.03166171315,457895.6702573843,20539.425315260596,100000000.0,0.00016901870912436996,0.5888386582651416,0.5591231335524917,0.6675187384101648,0.94,0.4254304277220693,0.12487818067208009,6.639504475247659e-05,0.0004132918410318083,2.0187636257938424,3.1897398703537196,0.0,0.0,20.246216156710023,19.811676286982834,1683.0,1235.0,
