# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,9.999999400000000316e-01
1.700000000000000000e+01,9.999999400000000316e-01
1.800000000000000000e+01,9.999998199999999837e-01
1.900000000000000000e+01,9.999997000000000469e-01
2.000000000000000000e+01,9.999995200000000306e-01
2.100000000000000000e+01,9.999992300000000167e-01
2.200000000000000000e+01,9.999987500000000473e-01
2.300000000000000000e+01,9.999979700000000138e-01
2.400000000000000000e+01,9.999968999999999664e-01
2.500000000000000000e+01,9.999952899999999811e-01
2.600000000000000000e+01,9.999930299999999495e-01
2.700000000000000000e+01,9.999897500000000106e-01
2.800000000000000000e+01,9.999852799999999764e-01
2.900000000000000000e+01,9.999791399999999886e-01
3.000000000000000000e+01,9.999708499999999667e-01
3.100000000000000000e+01,9.999599500000000418e-01
3.200000000000000000e+01,9.999455800000000005e-01
3.300000000000000000e+01,9.999270999999999576e-01
3.400000000000000000e+01,9.999034999999999451e-01
3.500000000000000000e+01,9.998736400000000080e-01
3.600000000000000000e+01,9.998363900000000193e-01
3.700000000000000000e+01,9.997903700000000393e-01
3.800000000000000000e+01,9.997339200000000536e-01
3.900000000000000000e+01,9.996654999999999847e-01
4.000000000000000000e+01,9.995832399999999840e-01
4.100000000000000000e+01,9.994852499999999917e-01
4.200000000000000000e+01,9.993695599999999901e-01
4.300000000000000000e+01,9.992340199999999450e-01
4.400000000000000000e+01,9.990767200000000292e-01
4.500000000000000000e+01,9.988956500000000238e-01
4.600000000000000000e+01,9.986888200000000326e-01
4.700000000000000000e+01,9.984545700000000412e-01
4.800000000000000000e+01,9.981913599999999720e-01
4.900000000000000000e+01,9.978977999999999460e-01
5.000000000000000000e+01,9.975730200000000325e-01
5.100000000000000000e+01,9.972160500000000205e-01
5.200000000000000000e+01,9.968265899999999569e-01
5.300000000000000000e+01,9.964045299999999550e-01
5.400000000000000000e+01,9.959497999999999962e-01
5.500000000000000000e+01,9.954628899999999891e-01
5.600000000000000000e+01,9.949446299999999965e-01
5.700000000000000000e+01,9.943956099999999854e-01
5.800000000000000000e+01,9.938169700000000217e-01
5.900000000000000000e+01,9.932099599999999473e-01
6.000000000000000000e+01,9.925757099999999999e-01
6.100000000000000000e+01,9.919156999999999558e-01
6.200000000000000000e+01,9.912313200000000268e-01
6.300000000000000000e+01,9.905238200000000548e-01
6.400000000000000000e+01,9.897948500000000038e-01
6.500000000000000000e+01,9.890457999999999750e-01
6.600000000000000000e+01,9.882779099999999817e-01
6.700000000000000000e+01,9.874926200000000431e-01
6.800000000000000000e+01,9.866913000000000489e-01
6.900000000000000000e+01,9.858750099999999961e-01
7.000000000000000000e+01,9.850449000000000011e-01
7.100000000000000000e+01,9.842022700000000457e-01
7.200000000000000000e+01,9.833477699999999544e-01
7.300000000000000000e+01,9.824826100000000340e-01
7.400000000000000000e+01,9.816076200000000140e-01
7.500000000000000000e+01,9.807233199999999540e-01
7.600000000000000000e+01,9.798306199999999855e-01
7.700000000000000000e+01,9.789301799999999831e-01
7.800000000000000000e+01,9.780222800000000216e-01
7.900000000000000000e+01,9.771076400000000550e-01
8.000000000000000000e+01,9.761866900000000236e-01
8.100000000000000000e+01,9.752596000000000043e-01
8.200000000000000000e+01,9.743267899999999981e-01
8.300000000000000000e+01,9.733886099999999875e-01
8.400000000000000000e+01,9.724451299999999909e-01
8.500000000000000000e+01,9.714966999999999908e-01
8.600000000000000000e+01,9.705435000000000034e-01
8.700000000000000000e+01,9.695856000000000474e-01
8.800000000000000000e+01,9.686232200000000070e-01
8.900000000000000000e+01,9.676565499999999487e-01
9.000000000000000000e+01,9.666855300000000151e-01
9.100000000000000000e+01,9.657104600000000483e-01
9.200000000000000000e+01,9.647314500000000459e-01
9.300000000000000000e+01,9.637485700000000266e-01
9.400000000000000000e+01,9.627618799999999588e-01
9.500000000000000000e+01,9.617716099999999990e-01
9.600000000000000000e+01,9.607777600000000362e-01
9.700000000000000000e+01,9.597804500000000072e-01
9.800000000000000000e+01,9.587798100000000101e-01
9.900000000000000000e+01,9.577758899999999631e-01
1.000000000000000000e+02,9.567687499999999456e-01
1.010000000000000000e+02,9.557584500000000372e-01
1.020000000000000000e+02,9.547449900000000156e-01
1.030000000000000000e+02,9.535968299999999509e-01
1.040000000000000000e+02,9.524592200000000508e-01
1.050000000000000000e+02,9.513489600000000213e-01
1.060000000000000000e+02,9.502538400000000163e-01
1.070000000000000000e+02,9.491703500000000515e-01
1.080000000000000000e+02,9.480946099999999488e-01
1.090000000000000000e+02,9.470244599999999568e-01
1.100000000000000000e+02,9.459580199999999550e-01
1.110000000000000000e+02,9.448940200000000011e-01
1.120000000000000000e+02,9.438312599999999497e-01
1.130000000000000000e+02,9.427691099999999658e-01
1.140000000000000000e+02,9.417067799999999655e-01
1.150000000000000000e+02,9.406437899999999797e-01
1.160000000000000000e+02,9.395796100000000095e-01
1.170000000000000000e+02,9.385139300000000517e-01
1.180000000000000000e+02,9.374462999999999546e-01
1.190000000000000000e+02,9.363765699999999637e-01
1.200000000000000000e+02,9.353044000000000358e-01
1.210000000000000000e+02,9.342295499999999642e-01
1.220000000000000000e+02,9.331518399999999547e-01
1.230000000000000000e+02,9.320710300000000226e-01
1.240000000000000000e+02,9.309870599999999774e-01
1.250000000000000000e+02,9.298997500000000249e-01
1.260000000000000000e+02,9.288090500000000249e-01
1.270000000000000000e+02,9.277147700000000219e-01
1.280000000000000000e+02,9.266167899999999680e-01
1.290000000000000000e+02,9.255149999999999766e-01
1.300000000000000000e+02,9.244094499999999659e-01
