# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,8.000000400000000303e-03
1.000000000000000000e+01,8.000000400000000303e-03
1.100000000000000000e+01,8.000000400000000303e-03
1.200000000000000000e+01,8.000000400000000303e-03
1.300000000000000000e+01,8.000000400000000303e-03
1.400000000000000000e+01,8.000000400000000303e-03
1.500000000000000000e+01,8.000000400000000303e-03
1.600000000000000000e+01,8.000000400000000303e-03
1.700000000000000000e+01,7.999999400000000829e-03
1.800000000000000000e+01,7.999999400000000829e-03
1.900000000000000000e+01,7.999999400000000829e-03
2.000000000000000000e+01,7.999999400000000829e-03
2.100000000000000000e+01,7.999998499999999221e-03
2.200000000000000000e+01,7.999996699999999475e-03
2.300000000000000000e+01,7.999994800000000128e-03
2.400000000000000000e+01,7.999991099999999300e-03
2.500000000000000000e+01,7.999984499999999651e-03
2.600000000000000000e+01,7.999974300000000510e-03
2.700000000000000000e+01,7.999959399999999332e-03
2.800000000000000000e+01,7.999937099999999968e-03
2.900000000000000000e+01,7.999906299999999873e-03
3.000000000000000000e+01,7.999863499999999156e-03
3.100000000000000000e+01,7.999806700000000603e-03
3.200000000000000000e+01,7.999732199999999918e-03
3.300000000000000000e+01,7.999636200000000141e-03
3.400000000000000000e+01,7.999514200000000172e-03
3.500000000000000000e+01,7.999361499999999708e-03
3.600000000000000000e+01,7.999171500000000837e-03
3.700000000000000000e+01,7.998938699999999513e-03
3.800000000000000000e+01,7.998656499999999558e-03
3.900000000000000000e+01,7.998317499999999317e-03
4.000000000000000000e+01,7.997912399999999519e-03
4.100000000000000000e+01,7.997435500000000391e-03
4.200000000000000000e+01,7.996876700000000657e-03
4.300000000000000000e+01,7.996228500000000794e-03
4.400000000000000000e+01,7.995483499999999147e-03
4.500000000000000000e+01,7.994633200000000189e-03
4.600000000000000000e+01,7.993670200000000531e-03
4.700000000000000000e+01,7.992588899999999996e-03
4.800000000000000000e+01,7.991382899999999873e-03
4.900000000000000000e+01,7.990048300000000131e-03
5.000000000000000000e+01,7.988581399999999944e-03
5.100000000000000000e+01,7.986981400000000772e-03
5.200000000000000000e+01,7.985244500000000453e-03
5.300000000000000000e+01,7.983373499999999942e-03
5.400000000000000000e+01,7.981368299999999638e-03
5.500000000000000000e+01,7.979230999999999824e-03
5.600000000000000000e+01,7.976965000000000791e-03
5.700000000000000000e+01,7.974575299999999908e-03
5.800000000000000000e+01,7.972064399999999329e-03
5.900000000000000000e+01,7.969439000000000037e-03
6.000000000000000000e+01,7.966704700000000472e-03
6.100000000000000000e+01,7.963866000000000001e-03
6.200000000000000000e+01,7.960928600000000133e-03
6.300000000000000000e+01,7.957899900000000790e-03
6.400000000000000000e+01,7.954785600000000012e-03
6.500000000000000000e+01,7.951590200000000636e-03
6.600000000000000000e+01,7.948321300000000048e-03
6.700000000000000000e+01,7.944983399999999349e-03
6.800000000000000000e+01,7.941581300000000176e-03
6.900000000000000000e+01,7.938121399999999508e-03
7.000000000000000000e+01,7.934608500000000716e-03
7.100000000000000000e+01,7.931046199999999824e-03
7.200000000000000000e+01,7.927441000000000348e-03
7.300000000000000000e+01,7.923794899999999503e-03
7.400000000000000000e+01,7.920110600000000375e-03
7.500000000000000000e+01,7.916396500000000627e-03
7.600000000000000000e+01,7.912651600000000784e-03
7.700000000000000000e+01,7.908879799999999141e-03
7.800000000000000000e+01,7.905085600000000268e-03
7.900000000000000000e+01,7.901270900000000041e-03
8.000000000000000000e+01,7.897436600000000070e-03
8.100000000000000000e+01,7.893587500000000257e-03
8.200000000000000000e+01,7.889723399999999665e-03
8.300000000000000000e+01,7.885845400000000838e-03
8.400000000000000000e+01,7.881957099999999800e-03
8.500000000000000000e+01,7.878059499999999493e-03
8.600000000000000000e+01,7.874151700000000045e-03
8.700000000000000000e+01,7.870236399999999341e-03
8.800000000000000000e+01,7.866313700000000450e-03
8.900000000000000000e+01,7.862382600000000429e-03
9.000000000000000000e+01,7.858445900000000234e-03
9.100000000000000000e+01,7.854501700000000516e-03
9.200000000000000000e+01,7.850550099999999143e-03
9.300000000000000000e+01,7.846591999999999456e-03
9.400000000000000000e+01,7.842626400000000247e-03
9.500000000000000000e+01,7.838652499999999509e-03
9.600000000000000000e+01,7.834669199999999903e-03
9.700000000000000000e+01,7.830678500000000375e-03
9.800000000000000000e+01,7.826677500000000370e-03
9.900000000000000000e+01,7.822666299999999490e-03
1.000000000000000000e+02,7.818644899999999467e-03
1.010000000000000000e+02,7.814613200000000703e-03
1.020000000000000000e+02,7.810570299999999855e-03
1.030000000000000000e+02,7.806516299999999992e-03
1.040000000000000000e+02,7.802451000000000178e-03
1.050000000000000000e+02,7.798374599999999615e-03
1.060000000000000000e+02,7.794287100000000038e-03
1.070000000000000000e+02,7.790188800000000247e-03
1.080000000000000000e+02,7.786079300000000106e-03
1.090000000000000000e+02,7.781959100000000219e-03
1.100000000000000000e+02,7.777827799999999583e-03
1.110000000000000000e+02,7.773686200000000206e-03
1.120000000000000000e+02,7.769534399999999952e-03
1.130000000000000000e+02,7.765372300000000089e-03
1.140000000000000000e+02,7.761199499999999613e-03
1.150000000000000000e+02,7.757016000000000258e-03
1.160000000000000000e+02,7.752822200000000427e-03
1.170000000000000000e+02,7.748616899999999710e-03
1.180000000000000000e+02,7.744400799999999647e-03
1.190000000000000000e+02,7.740173000000000365e-03
1.200000000000000000e+02,7.735933199999999593e-03
1.210000000000000000e+02,7.731680799999999729e-03
1.220000000000000000e+02,7.727415799999999904e-03
1.230000000000000000e+02,7.723137300000000247e-03
1.240000000000000000e+02,7.718844800000000152e-03
1.250000000000000000e+02,7.714538800000000224e-03
1.260000000000000000e+02,7.710217499999999849e-03
1.270000000000000000e+02,7.705881700000000167e-03
1.280000000000000000e+02,7.701530600000000039e-03
1.290000000000000000e+02,7.697164499999999999e-03
1.300000000000000000e+02,7.692782700000000244e-03
1.310000000000000000e+02,7.688384999999999837e-03
1.320000000000000000e+02,7.683971900000000251e-03
1.330000000000000000e+02,7.679543500000000217e-03
1.340000000000000000e+02,7.675098299999999658e-03
1.350000000000000000e+02,7.670637699999999920e-03
1.360000000000000000e+02,7.666161299999999998e-03
1.370000000000000000e+02,7.661668600000000155e-03
1.380000000000000000e+02,7.657160100000000129e-03
1.390000000000000000e+02,7.652634799999999578e-03
1.400000000000000000e+02,7.648093199999999973e-03
1.410000000000000000e+02,7.643534799999999844e-03
1.420000000000000000e+02,7.638959199999999922e-03
1.430000000000000000e+02,7.634366400000000205e-03
1.440000000000000000e+02,7.629755900000000091e-03
1.450000000000000000e+02,7.625127199999999841e-03
1.460000000000000000e+02,7.620479900000000188e-03
1.470000000000000000e+02,7.615813499999999660e-03
1.480000000000000000e+02,7.611127599999999854e-03
1.490000000000000000e+02,7.606422100000000304e-03
1.500000000000000000e+02,7.601696500000000405e-03
1.510000000000000000e+02,7.596950499999999620e-03
1.520000000000000000e+02,7.592183500000000348e-03
1.530000000000000000e+02,7.587395099999999851e-03
1.540000000000000000e+02,7.582585799999999598e-03
1.550000000000000000e+02,7.577755000000000254e-03
1.560000000000000000e+02,7.572491199999999839e-03
1.570000000000000000e+02,7.567252499999999743e-03
1.580000000000000000e+02,7.562024999999999997e-03
1.590000000000000000e+02,7.556819400000000346e-03
1.600000000000000000e+02,7.551630499999999885e-03
1.610000000000000000e+02,7.546453699999999647e-03
1.620000000000000000e+02,7.541283499999999924e-03
1.630000000000000000e+02,7.536113700000000339e-03
1.640000000000000000e+02,7.530940699999999662e-03
1.650000000000000000e+02,7.525760200000000330e-03
1.660000000000000000e+02,7.520569000000000386e-03
1.670000000000000000e+02,7.515363899999999604e-03
1.680000000000000000e+02,7.510141900000000433e-03
1.690000000000000000e+02,7.504901399999999723e-03
1.700000000000000000e+02,7.499640299999999794e-03
1.710000000000000000e+02,7.494356899999999634e-03
1.720000000000000000e+02,7.489050300000000236e-03
1.730000000000000000e+02,7.483718000000000314e-03
1.740000000000000000e+02,7.478359199999999596e-03
1.750000000000000000e+02,7.472974200000000351e-03
1.760000000000000000e+02,7.467560899999999696e-03
1.770000000000000000e+02,7.462118799999999628e-03
1.780000000000000000e+02,7.456647700000000080e-03
1.790000000000000000e+02,7.451146399999999774e-03
1.800000000000000000e+02,7.445614799999999978e-03
1.810000000000000000e+02,7.440051100000000077e-03
1.820000000000000000e+02,7.434456100000000345e-03
1.830000000000000000e+02,7.428828200000000236e-03
1.840000000000000000e+02,7.423166699999999944e-03
1.850000000000000000e+02,7.417471600000000338e-03
1.860000000000000000e+02,7.411741700000000141e-03
1.870000000000000000e+02,7.405976800000000151e-03
1.880000000000000000e+02,7.400175600000000360e-03
1.890000000000000000e+02,7.394337600000000163e-03
