A	 = 4.05e+12,4.02e+13,
C0	 = 1.0,0.0,
Cpa	 = 1099.3777431063213,262.2730076217689,
Cpb	 = 0.10352271239397917,0.0708597169771762,
E	 = 1.70e+05,3.50e+05,
Hp	 = 167766.17948531552,389742.65400293993,
K	 = 28167.481766546167,100000000.0,
Value	 = 5.2016479049119964e-05,
Xi	 = 0.5789305595420886,0.5689688668153816,
eps	 = 0.861418477746647,0.94,
ka	 = 0.2876884833683225,0.09940738711713298,
kb	 = 7.133932681006629e-05,0.00020201662962355865,
n	 = 2.288111236562336,4.105054644428499,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
