A	 = 2.36e+12,7.44e+13,9.07e+12,
C0	 = 1.0,0.0,
Cpa	 = 1012.8214947737822,801.1226892558889,
Cpb	 = 0.12321945870261347,0.2969940778994655,
E	 = 1.83e+05,1.89e+05,1.76e+05,
Hp	 = 233709.9540643713,247905.9773854464,385090.32701488154,
K	 = 20363.52133291136,100000000.0,
Value	 = 0.008827589206482208,
Xi	 = 0.7626849120887602,0.4886246914940589,0.2969364978189113,
eps	 = 0.9150218328761356,0.94,
ka	 = 0.2962757998204425,0.08994021399972375,
kb	 = 5.4309630385831545e-05,0.0003095621393747513,
n	 = 1.0119567741467208,1.4994090871367958,2.948320417291733,
nO2	 = 0.0,0.0,0.0,
rho	 = 1683.0,1235.0,
