A	 = 2.44e+12,7.50e+13,8.86e+12,
C0	 = 1.0,0.0,
Cpa	 = 1101.7565676924933,640.8782529708926,
Cpb	 = 0.10084576182445476,0.7937635994395462,
E	 = 1.84e+05,1.91e+05,1.75e+05,
Hp	 = 109828.40025309604,193751.7007162776,406595.3787251304,
K	 = 16144.37437828064,100000000.0,
Value	 = 2.541324935867244e-05,
Xi	 = 0.7535552591622423,0.5325490928732133,0.304763599202064,
eps	 = 0.9699950757587525,0.94,
ka	 = 0.318695104431357,0.2405107765696477,
kb	 = 6.374953794560676e-05,7.077915927362327e-05,
n	 = 0.9952944285042862,1.4605808792601085,2.9557421451117882,
nO2	 = 0.0,0.0,0.0,
rho	 = 1683.0,1235.0,
