A	 = 2.11e+12,6.97e+13,9.45e+12,
C0	 = 1.0,0.0,
Cpa	 = 1049.1399813068765,745.7563352939627,
Cpb	 = 0.10367859569048063,0.12670806271304252,
E	 = 1.87e+05,1.89e+05,1.76e+05,
Hp	 = 399427.85430466884,228391.7806794155,390347.5437905524,
K	 = 17881.89803812772,100000000.0,
Value	 = 9.872111197151415e-06,
Xi	 = 0.6911129781254008,0.5262045168842829,0.2932557959394989,
eps	 = 0.9323463216121666,0.94,
ka	 = 0.3074386034590926,0.22329175500884504,
kb	 = 4.970280668929677e-05,9.856115501284497e-05,
n	 = 1.0369288526632245,1.4763151325684483,3.051939311125592,
nO2	 = 0.0,0.0,0.0,
rho	 = 1683.0,1235.0,
