A	 = 2.26e+12,8.05e+13,
C0	 = 1.0,0.0,
Cpa	 = 1086.5621206113624,919.2869178171773,
Cpb	 = 0.042588954149322525,0.35116650151892936,
E	 = 1.81e+05,1.94e+05,
Hp	 = 147395.7667427961,180148.60554413963,
K	 = 19370.37216292328,100000000.0,
Value	 = 9.994496471671242e-08,
Xi	 = 0.7268570010193703,0.5182669987353897,
eps	 = 0.950577559718212,0.94,
ka	 = 0.31126231545115673,0.1718950055911261,
kb	 = 5.214298156275351e-05,0.00017711908019303968,
n	 = 1.014487936517459,1.4386103435077726,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
