A	 = 5.21e+12,1.88e+13,
C0	 = 1.0,0.0,
Cpa	 = 1081.507548677044,730.6267289748087,
Cpb	 = 0.11458360591784789,0.6645217357059088,
E	 = 1.78e+05,2.24e+05,
Hp	 = 166029.13730738728,397450.4197042115,
K	 = 39998.86197877392,100000000.0,
Value	 = 2.5693663438724465e-05,
Xi	 = 0.5820435165986744,0.6409432591234895,
eps	 = 0.9615560602973057,0.94,
ka	 = 0.30940625946815725,0.13996427326794683,
kb	 = 7.620992095078453e-05,0.00020444159305149474,
n	 = 1.236184601523012,2.205409078448591,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
