A	 = 2.41e+12,8.00e+13,
C0	 = 1.0,0.0,
Cpa	 = 1156.6136094044582,1444.5748045384053,
Cpb	 = 0.04069363618292034,0.07107063669052441,
E	 = 1.78e+05,1.88e+05,
Hp	 = 134561.57677152468,203992.09745832108,
K	 = 8004.3250618636575,100000000.0,
Value	 = 3.3501400115836725e-07,
Xi	 = 0.7642140480109674,0.5166136494033016,
eps	 = 0.9196218217464857,0.94,
ka	 = 0.25982301377232764,0.07407068659713945,
kb	 = 0.00017522241611916825,0.0003507690718212084,
n	 = 0.960894727743009,1.495088833219199,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
