A	 = 2.41e+12,1.73e+14,
C0	 = 1.0,0.0,
Cpa	 = 1120.62980323119,260.2878081503962,
Cpb	 = 0.013150428241912603,0.275130029972039,
E	 = 1.70e+05,4.15e+05,
Hp	 = 174888.24824433774,763732.7143143152,
K	 = 20311.750396788826,100000000.0,
Value	 = 0.00011429906357812605,
Xi	 = 0.5786116561069671,0.6466351032654601,
eps	 = 0.898514454493756,0.94,
ka	 = 0.2648809662950008,0.18178642686493318,
kb	 = 0.00011844996073833294,0.0001189703468614033,
n	 = 1.9640032374931584,3.869864885530925,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
