A	 = 3.97e+12,3.32e+13,
C0	 = 1.0,0.0,
Cpa	 = 1091.789378995421,1083.4750503693117,
Cpb	 = 0.05966583136023753,0.1920992584474399,
E	 = 4.50e+05,1.87e+05,
Hp	 = 356367.35034515604,166498.76144940098,
K	 = 10656.015257566847,100000000.0,
Value	 = 4.424926261262173e-05,
Xi	 = 0.9993755095141648,0.5820509321603811,
eps	 = 0.9525635170914973,0.94,
ka	 = 0.31444153811280534,0.12458261999148262,
kb	 = 5.177245888889375e-05,0.00023941145252345336,
n	 = 1.4097866781765471,1.2955131920444984,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
