A	 = 2.34e+12,7.42e+13,
C0	 = 1.0,0.0,
Cpa	 = 1125.3690761671442,2041.8702207658264,
Cpb	 = 0.11138111583706342,0.5866377804583482,
E	 = 1.78e+05,1.89e+05,
Hp	 = 237945.86434115737,178233.029267329,
K	 = 23390.991901978938,100000000.0,
Value	 = 2.883961345989175e-05,
Xi	 = 0.7470491103318281,0.5135459068817781,
eps	 = 0.9374188871706074,0.94,
ka	 = 0.30787049133350175,0.1375080919357705,
kb	 = 7.371397553773611e-05,0.0004907457715763938,
n	 = 1.0297003671921412,1.4971990936607058,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
