Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,r0-qIgn,p0-rho,p1-rho,
-1,0,8.47e+12,1.0,0.0,3469.085432128052,1200.8747630482703,0.015674094207827168,0.2566310353111795,1.21e+05,351197.7489457316,28292.17336414009,100000000.0,0.0004525777457531359,0.7338086749851456,0.997806968501923,0.94,1.0108126364859094,0.26471185084435095,1.9329230822902886e-05,0.0007356026847942212,3.1501441488014787,0.0,20.563937921309577,1683.0,1235.0,
0,129.9069,8.47e+12,1.0,0.0,3469.085432128052,1200.8747630482703,0.015674094207827168,0.2566310353111795,1.21e+05,351197.7489457316,28292.17336414009,100000000.0,0.0004525777457531359,0.7338086749851456,0.997806968501923,0.94,1.0108126364859094,0.26471185084435095,1.9329230822902886e-05,0.0007356026847942212,3.1501441488014787,0.0,20.563937921309577,1683.0,1235.0,
1,269.7177,1.77e+12,1.0,0.0,1435.9133235024426,1940.514979118152,0.13362049078458627,0.6371497743211356,1.38e+05,206672.00835996232,13173.763450165487,100000000.0,0.00031454259853534326,0.7338086749851456,0.5670385618232372,0.94,0.39124000883848953,0.08342813333716331,6.435915268834517e-05,0.0006501288335042209,1.676420689328486,0.0,20.982531260728056,1683.0,1235.0,
2,437.6780,1.77e+12,1.0,0.0,1435.9133235024426,1940.514979118152,0.13362049078458627,0.6371497743211356,1.38e+05,206672.00835996232,13173.763450165487,100000000.0,0.00031454259853534326,0.7338086749851456,0.5670385618232372,0.94,0.39124000883848953,0.08342813333716331,6.435915268834517e-05,0.0006501288335042209,1.676420689328486,0.0,20.982531260728056,1683.0,1235.0,
3,610.8403,1.77e+12,1.0,0.0,1435.9133235024426,1940.514979118152,0.13362049078458627,0.6371497743211356,1.38e+05,206672.00835996232,13173.763450165487,100000000.0,0.00031454259853534326,0.7338086749851456,0.5670385618232372,0.94,0.39124000883848953,0.08342813333716331,6.435915268834517e-05,0.0006501288335042209,1.676420689328486,0.0,20.982531260728056,1683.0,1235.0,
4,811.7673,4.56e+12,1.0,0.0,1350.822561182179,1941.7859091151186,0.05462079040308501,0.6560617534591089,1.53e+05,268452.0482562918,17622.015333336614,100000000.0,0.0002500614911594941,0.7338086749851456,0.6490464454348894,0.94,0.5745390250908373,0.15653623217726303,7.584791480516118e-05,0.0005419027016149422,1.3661798805328402,0.0,22.437887417459336,1683.0,1235.0,
5,1004.4496,2.35e+12,1.0,0.0,1549.2385654823127,1508.935889116612,0.10170023387072527,0.585734400871611,1.49e+05,170744.43218485446,26547.204118258294,100000000.0,0.00017041765472246664,0.7338086749851456,0.6932764403305196,0.94,0.5343864631326073,0.1311011929042784,3.670078783686122e-05,0.00039886065105798293,1.6092421756790716,0.0,20.99444809252215,1683.0,1235.0,
6,1173.3629,2.35e+12,1.0,0.0,1549.2385654823127,1508.935889116612,0.10170023387072527,0.585734400871611,1.49e+05,170744.43218485446,26547.204118258294,100000000.0,0.00017041765472246664,0.7338086749851456,0.6932764403305196,0.94,0.5343864631326073,0.1311011929042784,3.670078783686122e-05,0.00039886065105798293,1.6092421756790716,0.0,20.99444809252215,1683.0,1235.0,
7,1345.1690,4.08e+12,1.0,0.0,1917.2289020794706,1832.4178633166948,0.10066178431756853,0.4461596258549596,1.43e+05,196617.36861463502,22663.43860748384,100000000.0,0.00011808462477109154,0.7338086749851456,0.7287966196022817,0.94,0.5194018539142929,0.14142753325896212,4.93087016659572e-05,0.0006203576504848102,1.2955412334909524,0.0,20.393709787986296,1683.0,1235.0,
8,1514.0824,3.63e+12,1.0,0.0,1911.736547388414,1810.9661848654187,0.09216863668177439,0.5162110681344039,1.43e+05,180362.08609800925,25596.138020693514,100000000.0,9.499646435883838e-05,0.7338086749851456,0.7161616905388448,0.94,0.49516702037575827,0.15773704632288627,5.5756698209535245e-05,0.0005429721852411542,1.6055090341269627,0.0,20.805153471103914,1683.0,1235.0,
9,1668.4679,3.50e+12,1.0,0.0,1887.8465677945105,1561.5622380178656,0.09913319140450721,0.41779044678778654,1.45e+05,184572.72087278496,20313.475770555255,100000000.0,8.208902919116398e-05,0.7338086749851456,0.7426383312421424,0.94,0.4416662754953564,0.1818032570844172,3.6407202854959114e-05,0.0005796411135756829,1.6178237733518905,0.0,20.52269404417624,1683.0,1235.0,
10,1824.2616,3.37e+12,1.0,0.0,1886.0912060512692,1659.1175147932413,0.0940828417599486,0.3967053455084536,1.46e+05,180017.4441978252,21447.710995410747,100000000.0,7.046783975271778e-05,0.7338086749851456,0.7861885790056156,0.94,0.4638971930115987,0.17125344637470977,4.22296986377476e-05,0.0005822788682713184,1.6840535270203545,0.0,20.53295909269275,1683.0,1235.0,
11,1988.3049,3.11e+12,1.0,0.0,1903.4267153621174,1709.3910247197068,0.0961796687913335,0.4200658538573367,1.47e+05,166752.6130411165,23600.438296038177,100000000.0,6.635771218009687e-05,0.7338086749851456,0.7802041447551307,0.94,0.4597620438258092,0.17578794321092195,4.143644135972207e-05,0.0005579562611195166,1.5003744695939303,0.0,20.80387249942057,1683.0,1235.0,
12,2137.9735,3.12e+12,1.0,0.0,1853.8172396981704,1801.2037890276006,0.10863199555496364,0.4000712496693949,1.50e+05,159626.98476056007,21303.023019491142,100000000.0,5.185606207404183e-05,0.7338086749851456,0.8368688390011552,0.94,0.4778884237861002,0.14965623476469886,3.301417187178873e-05,0.0005780786882852529,1.4899978072816122,0.0,20.935342441331265,1683.0,1235.0,
13,2278.9871,3.14e+12,1.0,0.0,1880.1576951974143,1579.0829783661586,0.09660161389766524,0.4495768210572521,1.51e+05,152584.97039468773,25083.903002953622,100000000.0,4.503564821733134e-05,0.7338086749851456,0.8868773283091111,0.94,0.4822476247416364,0.16895850639981386,3.5191614442391954e-05,0.0005965091330748717,1.9387406713336448,0.0,20.505702038692068,1683.0,1235.0,
14,2428.6550,3.38e+12,1.0,0.0,1814.5850777354217,1539.8444762342313,0.09445930334746389,0.4138110949290035,1.56e+05,167079.37425998255,25062.098652028806,100000000.0,3.906361526530076e-05,0.7338086749851456,0.9199346803538937,0.94,0.4747144187123397,0.15011691483847622,2.8001811738745792e-05,0.0006594765099104906,1.6815124053368447,0.0,21.330680301370215,1683.0,1235.0,
15,2989.1785,3.63e+12,1.0,0.0,1797.2137313191242,1422.4481672946417,0.09937862694719717,0.3458306991477105,1.58e+05,169058.23893508912,21327.175679332482,100000000.0,3.560922800689308e-05,0.7338086749851456,0.9548987922376062,0.94,0.4626966785848311,0.15923160684498255,1.734885137821263e-05,0.000668673971384992,1.7704773425289217,0.0,21.226455850460162,1683.0,1235.0,
16,3149.7896,3.37e+12,1.0,0.0,1726.6128318593392,1484.4748366636015,0.0949372376851532,0.356529010872224,1.57e+05,167461.50855813146,24482.86142531882,100000000.0,3.435846269183886e-05,0.7338086749851456,0.9064176803464036,0.94,0.4498178745900512,0.14515818842508407,2.2049691693808504e-05,0.0006364419190831997,1.7330504199551753,0.0,21.203402369563666,1683.0,1235.0,
17,3303.6810,3.13e+12,1.0,0.0,1614.8307579287045,1577.9866417175344,0.09933275512642363,0.3729276557427024,1.64e+05,154063.84744335996,21455.761443046882,100000000.0,3.217715351344173e-05,0.7338086749851456,0.9975632474483807,0.94,0.4193619155875885,0.139407666793936,1.924288453146159e-05,0.0007167823350369732,1.7569895772803734,0.0,21.331616849829267,1683.0,1235.0,
18,3453.7528,2.77e+12,1.0,0.0,1629.2221754618135,1602.9867634433592,0.10036277700765237,0.3730777001294833,1.62e+05,160221.28734727154,22635.846877754855,100000000.0,3.107459612870611e-05,0.7338086749851456,0.9700491080778153,0.94,0.42175494316329176,0.14772436798280375,2.2130690770301185e-05,0.0006852723893542476,1.6485038415742568,0.0,21.266683741797195,1683.0,1235.0,
19,3597.7286,3.02e+12,1.0,0.0,1621.1312952275343,1650.4492236866743,0.10328792046865248,0.33628632739602715,1.62e+05,164172.51048266905,23042.333841263233,100000000.0,2.9070736063712844e-05,0.7338086749851456,0.9597368555401782,0.94,0.43250661560982606,0.1547897002725397,2.8284693156594767e-05,0.0006474644740964931,1.5072873614802842,0.0,21.179082763486626,1683.0,1235.0,
