Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,r0-qIgn,p0-rho,p1-rho,
-1,0,2.44e+12,1.0,0.0,1160.8738327291205,489.49820463697233,0.1471872218374273,0.365915322287945,1.66e+05,78045.84736911346,32384.134635995106,100000000.0,0.0003033388626371989,0.7338086749851456,0.8703982684270868,0.94,0.4847332682720747,0.026838764863161703,4.260257624791016e-05,7.790038053155764e-05,1.0089409487785188,0.0,15.345493948554441,1683.0,1235.0,
0,100.7790,2.37e+12,1.0,0.0,1011.6559216619216,1320.8275579317133,0.09990577445120759,0.26391206877529383,1.73e+05,166369.44212674015,16410.231734524536,100000000.0,0.00021567681126012607,0.7338086749851456,0.7513017727571756,0.94,0.3674510495925506,0.1240485556173547,5.2874819699494386e-05,0.00027653597296899374,0.9734145571157813,0.0,19.7224127839852,1683.0,1235.0,
1,211.2440,2.37e+12,1.0,0.0,1011.6559216619216,1320.8275579317133,0.09990577445120759,0.26391206877529383,1.73e+05,166369.44212674015,16410.231734524536,100000000.0,0.00021567681126012607,0.7338086749851456,0.7513017727571756,0.94,0.3674510495925506,0.1240485556173547,5.2874819699494386e-05,0.00027653597296899374,0.9734145571157813,0.0,19.7224127839852,1683.0,1235.0,
2,355.6270,2.37e+12,1.0,0.0,1011.6559216619216,1320.8275579317133,0.09990577445120759,0.26391206877529383,1.73e+05,166369.44212674015,16410.231734524536,100000000.0,0.00021567681126012607,0.7338086749851456,0.7513017727571756,0.94,0.3674510495925506,0.1240485556173547,5.2874819699494386e-05,0.00027653597296899374,0.9734145571157813,0.0,19.7224127839852,1683.0,1235.0,
3,512.9860,2.37e+12,1.0,0.0,1011.6559216619216,1320.8275579317133,0.09990577445120759,0.26391206877529383,1.73e+05,166369.44212674015,16410.231734524536,100000000.0,0.00021567681126012607,0.7338086749851456,0.7513017727571756,0.94,0.3674510495925506,0.1240485556173547,5.2874819699494386e-05,0.00027653597296899374,0.9734145571157813,0.0,19.7224127839852,1683.0,1235.0,
4,663.5630,2.36e+12,1.0,0.0,1100.909935763455,1585.9783337624563,0.0952181907889075,0.5819929879141814,1.73e+05,231538.09198376758,19168.272542134095,100000000.0,0.00016288292551016996,0.7338086749851456,0.9017950181708363,0.94,0.36235063926861577,0.16283418752894835,3.561155987222292e-05,0.0005721575922586947,1.0019461495043596,0.0,21.384993076195464,1683.0,1235.0,
5,813.4030,2.32e+12,1.0,0.0,1258.9854191608808,1699.8424661573217,0.07850288589074458,0.5144251441310239,1.71e+05,166557.46223919332,20849.752207069047,100000000.0,7.522974784205453e-05,0.7338086749851456,0.9174260765155304,0.94,0.3182832385808645,0.15596460901967055,7.01483435066601e-05,0.0005716786471581005,0.9917304238842678,0.0,21.8369850952978,1683.0,1235.0,
6,964.3869,2.29e+12,1.0,0.0,1302.0709247892255,2267.423924965684,0.10036511706895551,0.6494757187636917,1.68e+05,149669.64201754812,25236.117610397152,100000000.0,5.14686702839323e-05,0.7338086749851456,0.8787188638441896,0.94,0.3230977902184473,0.1552947258161269,6.837546306467715e-05,0.0006199739554870214,0.9850306973249153,0.0,22.04358063170637,1683.0,1235.0,
7,1114.9780,2.32e+12,1.0,0.0,1244.7960825237374,1904.703939415736,0.09195522661475089,0.4612010659578564,1.72e+05,145307.75958565177,22668.424190663394,100000000.0,4.67480694512722e-05,0.7338086749851456,0.9195083446644908,0.94,0.33228561279653873,0.1530480240686089,7.374689003426175e-05,0.0005214805409921993,0.9852000321635308,0.0,21.09372935085493,1683.0,1235.0,
8,1267.3580,2.28e+12,1.0,0.0,1322.2032038904745,2023.992871653535,0.1058201967970255,0.5734579416191811,1.71e+05,150672.9925980373,18563.440938371932,100000000.0,3.1093720509751195e-05,0.7338086749851456,0.9855706703768747,0.94,0.3614954272804025,0.1555861397566192,6.799875601493723e-05,0.0005848380698555088,0.9877247874572747,0.0,20.9578584402917,1683.0,1235.0,
9,1421.7010,2.29e+12,1.0,0.0,1334.1012803514254,1901.5965072422796,0.0987715856791607,0.5815057203501905,1.70e+05,142007.92561645957,23210.35878967117,100000000.0,2.8564637811629466e-05,0.7338086749851456,0.9322672739434117,0.94,0.350722594431887,0.15681646381112102,7.243277065139804e-05,0.0005124612991604161,0.9951082886740866,0.0,21.27353655491835,1683.0,1235.0,
10,1581.6380,2.32e+12,1.0,0.0,1331.117579789117,1922.8197471120134,0.09677293497776895,0.5265737296039281,1.71e+05,134129.20327973407,23178.01186728559,100000000.0,2.203973292925211e-05,0.7338086749851456,0.9513361176634225,0.94,0.34978218098733754,0.1525533187490858,6.683304177583385e-05,0.0005280588368173854,0.9878989315074077,0.0,21.090563867796067,1683.0,1235.0,
