# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.990000000000000000e+02,1.101653622728539261e+01
2.000000000000000000e+02,1.102731788855044037e+01
2.010000000000000000e+02,1.103831129932005162e+01
2.020000000000000000e+02,1.104954029589855047e+01
2.030000000000000000e+02,1.106102772498471154e+01
2.040000000000000000e+02,1.107279496551554487e+01
2.050000000000000000e+02,1.108486641046211751e+01
2.060000000000000000e+02,1.109726951634651471e+01
2.070000000000000000e+02,1.111002820958253245e+01
2.080000000000000000e+02,1.112317350680883266e+01
2.090000000000000000e+02,1.113673623874331220e+01
2.100000000000000000e+02,1.115074844102570673e+01
2.110000000000000000e+02,1.116524453395367367e+01
2.120000000000000000e+02,1.118025611142904552e+01
2.130000000000000000e+02,1.119582259387585488e+01
2.140000000000000000e+02,1.121199108357913232e+01
2.150000000000000000e+02,1.122880803677778339e+01
2.160000000000000000e+02,1.124631857018484560e+01
2.170000000000000000e+02,1.126457177428026313e+01
2.180000000000000000e+02,1.128363308903003670e+01
2.190000000000000000e+02,1.130354766404180999e+01
2.200000000000000000e+02,1.132437549736045312e+01
2.210000000000000000e+02,1.134618098160213329e+01
2.220000000000000000e+02,1.136901948574062970e+01
2.230000000000000000e+02,1.139294292234877481e+01
2.240000000000000000e+02,1.141798202196327594e+01
2.250000000000000000e+02,1.144417646965413837e+01
2.260000000000000000e+02,1.147151297589385344e+01
2.270000000000000000e+02,1.149995411244116994e+01
2.280000000000000000e+02,1.152940213899429622e+01
2.290000000000000000e+02,1.155970468472725443e+01
2.300000000000000000e+02,1.159062492145966417e+01
2.310000000000000000e+02,1.162186512102003277e+01
2.320000000000000000e+02,1.165306274725631042e+01
2.330000000000000000e+02,1.168386518218060210e+01
2.340000000000000000e+02,1.171395540428752646e+01
2.350000000000000000e+02,1.174312857150662026e+01
2.360000000000000000e+02,1.177132340003648636e+01
2.370000000000000000e+02,1.179859172309288518e+01
2.380000000000000000e+02,1.182503434622945093e+01
2.390000000000000000e+02,1.185076129722203042e+01
2.400000000000000000e+02,1.187585414970117448e+01
2.410000000000000000e+02,1.190036878525155473e+01
2.420000000000000000e+02,1.192435392922457105e+01
2.430000000000000000e+02,1.194785010631032129e+01
2.440000000000000000e+02,1.197088852703917183e+01
2.450000000000000000e+02,1.199349242993966236e+01
2.460000000000000000e+02,1.201569127512133583e+01
2.470000000000000000e+02,1.203750368033275642e+01
2.480000000000000000e+02,1.205894841686467700e+01
