A	 = 5.81e+12,1.21e+14,
C0	 = 1.0,0.0,
Cpa	 = 1154.5175950268656,741.7049198537009,
Cpb	 = 0.01131357786700967,0.6771999329617627,
E	 = 1.78e+05,4.89e+05,
Hp	 = 165915.51947469945,452698.80119584367,
K	 = 5866.990647245892,100000000.0,
Value	 = 0.006465561789558525,
Xi	 = 0.5820489323430613,0.6797516075085901,
eps	 = 0.9764501400022149,0.94,
ka	 = 0.3289224286281942,0.0238203845724252,
kb	 = 5.288213694731317e-05,0.00038133190023949086,
n	 = 1.2434529159167071,5.988641252742619,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
