A	 = 2.36e+12,7.25e+13,
C0	 = 1.0,0.0,
Cpa	 = 1065.2671502909757,685.8199061889927,
Cpb	 = 0.07710204712147277,0.7158042692687037,
E	 = 1.81e+05,1.93e+05,
Hp	 = 120480.97849263904,189435.00993002194,
K	 = 21200.11400772344,100000000.0,
Value	 = 0.04891503060750985,
Xi	 = 0.7378567871056387,0.51328898647145,
eps	 = 0.94054900568993,0.94,
ka	 = 0.30856187438916505,0.2336204353429273,
kb	 = 5.195738711587228e-05,7.137066417975957e-05,
n	 = 1.0999639477228085,1.4329905091222543,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
