A	 = 6.30e+11,1.11e+14,
C0	 = 1.0,0.0,
Cpa	 = 1118.5784695579196,265.4603825262109,
Cpb	 = 0.17036731128577062,0.06536203274618246,
E	 = 6.48e+05,1.84e+05,
Hp	 = 389964.04651281494,177717.09960455284,
K	 = 29312.76902369167,100000000.0,
Value	 = 0.006518947231706775,
Xi	 = 0.7239119258325885,0.5789265156672445,
eps	 = 0.8656486133978694,0.94,
ka	 = 0.2873371732858033,0.07491902871584265,
kb	 = 0.00010417354010230932,0.00025289443196874103,
n	 = 2.7737800881168653,2.522734767345315,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
