A	 = 8.02e+12,6.93e+13,
C0	 = 1.0,0.0,
Cpa	 = 1236.68,695.9,
Cpb	 = 0.073,0.5946,
E	 = 1.74e+05,6.63e+05,
Hp	 = 105464.1,357553.0,
K	 = 20368.0,100000000.0,
Value	 = 0.007220525624002143,
Xi	 = 0.5784,0.9936,
eps	 = 0.9686,0.94,
ka	 = 0.2973,0.2569,
kb	 = 1.827e-05,0.0002642,
n	 = 3.4723,5.96,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
