Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,4.17e+10,1.0,1733.3590199638425,1.59e+05,698798.4265939663,812.7192776085792,0.00011167769000169297,0.0,0.7826126653039607,0.20739128892955483,0.8461181125781623,0.0,1189.37,
0,14.8565,4.17e+10,1.0,1733.3590199638425,1.59e+05,698798.4265939663,812.7192776085792,0.00011167769000169297,0.0,0.7826126653039607,0.20739128892955483,0.8461181125781623,0.0,1189.37,
1,31.9501,4.81e+10,1.0,1912.1079093199257,1.52e+05,755539.2857498848,938.9014628391399,8.298480550881856e-05,0.0,0.7332142075488308,0.21578527385432794,0.8696090051752352,0.0,1189.37,
2,50.7542,4.41e+10,1.0,1765.798189756073,1.56e+05,727421.0205886734,954.6913349603826,2.1959683879622366e-05,0.0,0.7588538015104493,0.21042723732368465,0.8957483481764326,0.0,1189.37,
3,70.9806,4.41e+10,1.0,1765.798189756073,1.56e+05,727421.0205886734,954.6913349603826,2.1959683879622366e-05,0.0,0.7588538015104493,0.21042723732368465,0.8957483481764326,0.0,1189.37,
4,91.3772,4.41e+10,1.0,1765.798189756073,1.56e+05,727421.0205886734,954.6913349603826,2.1959683879622366e-05,0.0,0.7588538015104493,0.21042723732368465,0.8957483481764326,0.0,1189.37,
5,112.3963,4.74e+10,1.0,1824.4633653089252,1.56e+05,758040.9511615852,950.4740265143314,1.076114966236078e-05,0.0,0.769468448545146,0.22941321184088284,0.9098314461591398,0.0,1189.37,
6,135.9058,4.94e+10,1.0,1914.956106709515,1.57e+05,800105.3050078247,959.4346264941189,6.81145283628312e-06,0.0,0.8049455183443063,0.24963389550657028,0.9051267394957261,0.0,1189.37,
7,157.2022,4.94e+10,1.0,1914.956106709515,1.57e+05,800105.3050078247,959.4346264941189,6.81145283628312e-06,0.0,0.8049455183443063,0.24963389550657028,0.9051267394957261,0.0,1189.37,
8,180.8977,4.93e+10,1.0,1895.361782999709,1.56e+05,791335.2049194353,959.5919227914682,5.7091473863181285e-06,0.0,0.7965317577399433,0.24464069782000758,0.901691286649596,0.0,1189.37,
