Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,1.96e+11,1.0,3624.408897430622,1.01e+05,1831401.8158813037,1293.17934064692,0.0018838453496172994,0.0,0.6417357463259266,0.47184160244273465,0.8849687205549893,0.0,1189.37,
0,15.2639,9.25e+10,1.0,5122.014378547082,1.22e+05,934352.1673302688,2475.3259824587076,0.000834358425502199,0.0,0.7179005556812208,0.1973508282270663,2.5508459499013187,0.0,1189.37,
1,32.3545,9.25e+10,1.0,5122.014378547082,1.22e+05,934352.1673302688,2475.3259824587076,0.000834358425502199,0.0,0.7179005556812208,0.1973508282270663,2.5508459499013187,0.0,1189.37,
2,50.6531,4.02e+10,1.0,4303.549646750994,1.21e+05,1304299.513563218,2011.3876490872922,0.0003400133961832108,0.0,0.797043878894343,0.5093366365119255,0.9488520274115402,0.0,1189.37,
3,67.8428,4.02e+10,1.0,4303.549646750994,1.21e+05,1304299.513563218,2011.3876490872922,0.0003400133961832108,0.0,0.797043878894343,0.5093366365119255,0.9488520274115402,0.0,1189.37,
4,86.3416,5.48e+10,1.0,4189.18257830199,1.11e+05,845644.1246334498,2326.7950654347164,0.00030123437926320564,0.0,0.5344743853245895,0.42208150435111247,2.3691259110239216,0.0,1189.37,
5,102.9207,5.92e+10,1.0,4249.979385471237,1.16e+05,1086105.7176599177,2125.938899978687,0.0002605684267002303,0.0,0.6474607313363075,0.4468789953782215,1.8321161255614071,0.0,1189.37,
6,121.3135,4.85e+10,1.0,3877.7049204172154,1.19e+05,1024184.1995024392,2422.559455423383,0.00024306873800555108,0.0,0.6418659345505917,0.48724872335376823,2.0013928693152656,0.0,1189.37,
7,140.1256,4.85e+10,1.0,3877.7049204172154,1.19e+05,1024184.1995024392,2422.559455423383,0.00024306873800555108,0.0,0.6418659345505917,0.48724872335376823,2.0013928693152656,0.0,1189.37,
8,159.4162,3.74e+10,1.0,3896.8668944592955,1.16e+05,1066151.4969754007,2245.081522586327,0.00022028795755768923,0.0,0.6349844532022939,0.5087514907407042,1.928683766711401,0.0,1189.37,
9,179.2072,2.90e+10,1.0,3800.8526073916273,1.17e+05,1031976.2042574603,1967.8582743512297,0.00020285957561863664,0.0,0.6303585818713896,0.559677083720935,1.7724952983344924,0.0,1189.37,
10,198.1975,2.65e+10,1.0,3750.5282817785082,1.14e+05,961544.8718416947,1827.0531120108108,0.00019949161618140217,0.0,0.5845893147111534,0.5555369395851477,1.9316542207913694,0.0,1189.37,
