s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8335687E-001
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2753675E-010,-1.6532229E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4406898E-010, 0.0000000E+000, 5.8275409E-012,-5.8335687E-001
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9507618E-004,-1.6632746E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9507616E-004, 0.0000000E+000, 5.8275403E-012,-5.8335687E-001
 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0384098E-004,-1.7297553E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0384097E-004, 0.0000000E+000, 6.0355283E-012,-5.8335687E-001
 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1079074E-004,-1.8051839E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1079072E-004, 0.0000000E+000, 6.2782863E-012,-5.8335687E-001
 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8298492E-004,-1.8881657E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8298490E-004, 0.0000000E+000, 6.5495516E-012,-5.8335687E-001
 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0319438E-003,-1.9781378E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0319438E-003, 0.0000000E+000, 6.8460484E-012,-5.8335687E-001
 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1653556E-003,-2.0749625E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1653556E-003, 0.0000000E+000, 7.1667580E-012,-5.8335687E-001
 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2870655E-003,-2.1785617E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2870654E-003, 0.0000000E+000, 7.5110122E-012,-5.8335687E-001
