A	 = 2.41e+12,7.11e+13,
C0	 = 1.0,0.0,
Cpa	 = 1020.7324952498434,1220.1647958915032,
Cpb	 = 0.18007005913872956,0.0674038199319563,
E	 = 1.80e+05,1.93e+05,
Hp	 = 154921.02733321406,177475.9986570116,
K	 = 26074.12791690147,100000000.0,
Value	 = 8.851567685858771e-07,
Xi	 = 0.7323737165925843,0.5053002267794258,
eps	 = 0.9428214251411409,0.94,
ka	 = 0.29451508413159533,0.11613725544401965,
kb	 = 8.393259807084957e-05,0.00026229383815954175,
n	 = 1.0299799256719209,1.374195209177345,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
