,10kW,60kW,100kW
1Mass,0.1756735312716667,0.011775978483333333,0.010583420150000002
2Mass,0.001634516199999999,0.00012694358333333294,0.0001132275416666657
2MassTGA,0.0007794494500000005,1.3219383333333465e-05,7.196661666666548e-05
3Mass,0.002296152694999998,0.00022567620833333413,0.00011552833333333207
FTBT,0.00010080333166666591,0.0001157777583333324,0.00017375286666666684
TGA,0.004621346661666666,0.00010613310833333241,0.0001508770416666667
TGABTRun2,0.0008124168916666663,0.0001895867833333332,0.00021565998333333318
BT,0.0015523450466666663,6.784662499999945e-05,0.00016676460833333406
