Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,r0-qIgn,r1-qIgn,r2-qIgn,p0-rho,p1-rho,
9,2607.0380,2.63e+12,7.12e+13,1.00e+13,1.0,0.0,1883.4629815926291,2704.03059117553,0.054862777565119786,0.7144030897111298,2.67e+05,1.42e+05,2.08e+05,212072.08649986028,427671.74410806864,908887.5173701488,13418.499262219088,100000000.0,0.0003658547894303238,0.6257915083652477,0.44856578554607274,0.47378665981433976,0.6527317184614976,0.94,0.6132045141650602,0.15278129929968745,7.981779171577963e-05,0.0004787207719867676,1.962211136880022,2.9909593501084446,7.854734650991995,0.0,0.0,0.0,19.75210047664926,20.621210255236647,18.26125026040385,1683.0,1235.0,
10,2873.7960,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
11,3148.1506,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
12,3435.7205,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
13,3714.1321,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
14,3980.4647,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
15,4260.1517,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
16,4527.5184,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
17,4806.2113,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
18,5082.9000,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
19,5361.5340,3.08e+12,1.12e+14,1.54e+13,1.0,0.0,2026.9576916253218,2605.2313221493655,0.10973073330602201,0.4887619656235844,1.38e+05,1.70e+05,1.39e+05,229104.6653483223,466244.316612951,634544.9340958346,27750.29241739921,100000000.0,0.0002526895137880411,0.38967907187873296,0.48366125822252737,0.5218994091958429,0.8231602527306565,0.94,0.3894922296077238,0.1472365334063711,5.557555375614941e-05,0.0004759997826915581,2.0828512693303085,3.064887151813693,6.841154284529951,0.0,0.0,0.0,20.577324348220245,21.588419935739907,19.92743870864014,1683.0,1235.0,
20,5649.7780,4.16e+12,1.16e+14,1.51e+13,1.0,0.0,1691.681044308279,2548.3434475040494,0.09538442903880912,0.5633728279897877,1.74e+05,1.52e+05,1.62e+05,198413.29503647063,458742.6126509891,952502.7266184454,19176.392102305308,100000000.0,0.00019697025246047536,0.4570085521670636,0.41767809063239747,0.42168791172614795,0.7686893918011624,0.94,0.4855063748210714,0.14131597253914902,5.2083357541298295e-05,0.0004751076032424883,2.186343858465124,3.3684727850163982,6.224987266907782,0.0,0.0,0.0,19.569413338019366,19.845017730570987,20.702687139328525,1683.0,1235.0,
21,5925.5440,4.16e+12,1.16e+14,1.51e+13,1.0,0.0,1691.681044308279,2548.3434475040494,0.09538442903880912,0.5633728279897877,1.74e+05,1.52e+05,1.62e+05,198413.29503647063,458742.6126509891,952502.7266184454,19176.392102305308,100000000.0,0.00019697025246047536,0.4570085521670636,0.41767809063239747,0.42168791172614795,0.7686893918011624,0.94,0.4855063748210714,0.14131597253914902,5.2083357541298295e-05,0.0004751076032424883,2.186343858465124,3.3684727850163982,6.224987266907782,0.0,0.0,0.0,19.569413338019366,19.845017730570987,20.702687139328525,1683.0,1235.0,
22,6196.2970,4.16e+12,1.16e+14,1.51e+13,1.0,0.0,1691.681044308279,2548.3434475040494,0.09538442903880912,0.5633728279897877,1.74e+05,1.52e+05,1.62e+05,198413.29503647063,458742.6126509891,952502.7266184454,19176.392102305308,100000000.0,0.00019697025246047536,0.4570085521670636,0.41767809063239747,0.42168791172614795,0.7686893918011624,0.94,0.4855063748210714,0.14131597253914902,5.2083357541298295e-05,0.0004751076032424883,2.186343858465124,3.3684727850163982,6.224987266907782,0.0,0.0,0.0,19.569413338019366,19.845017730570987,20.702687139328525,1683.0,1235.0,
23,6471.9830,2.63e+12,1.04e+14,1.30e+13,1.0,0.0,994.5645815156881,1980.7818060679467,0.09257437015139874,0.6395978965135904,1.62e+05,2.13e+05,1.69e+05,185747.02728598734,475429.8965565191,888951.9042301432,21843.99082093115,100000000.0,0.000175850729967429,0.4450163183074809,0.4696212465207857,0.3581912720283895,0.8138391441789652,0.94,0.49879575340042126,0.16058422632230746,7.352456885451723e-05,0.00043928428523790346,2.323720888357453,3.021688537819808,6.228293416623536,0.0,0.0,0.0,20.15652905215073,20.619017525281137,19.785257456856854,1683.0,1235.0,
24,6745.4650,2.63e+12,1.04e+14,1.30e+13,1.0,0.0,994.5645815156881,1980.7818060679467,0.09257437015139874,0.6395978965135904,1.62e+05,2.13e+05,1.69e+05,185747.02728598734,475429.8965565191,888951.9042301432,21843.99082093115,100000000.0,0.000175850729967429,0.4450163183074809,0.4696212465207857,0.3581912720283895,0.8138391441789652,0.94,0.49879575340042126,0.16058422632230746,7.352456885451723e-05,0.00043928428523790346,2.323720888357453,3.021688537819808,6.228293416623536,0.0,0.0,0.0,20.15652905215073,20.619017525281137,19.785257456856854,1683.0,1235.0,
25,7027.9680,3.55e+12,1.04e+14,1.39e+13,1.0,0.0,1432.009037985872,2325.576796458602,0.09507040668690933,0.5574872022261259,1.58e+05,1.54e+05,1.74e+05,240249.91130518244,459527.6934578527,773242.849831494,23796.943253945432,100000000.0,0.0001557579679872381,0.517123818310621,0.4310576370672706,0.40155224490466424,0.7258884226108431,0.94,0.4708107631692471,0.16082782958293923,6.553498484003953e-05,0.00042381909444852883,2.3106201477206065,3.2455216658754953,6.486940244787624,0.0,0.0,0.0,19.691205583052966,19.92732819179102,20.25567108480791,1683.0,1235.0,
26,7308.1150,3.84e+12,1.13e+14,1.41e+13,1.0,0.0,1566.2840463921088,2041.951197491914,0.09035708465988018,0.5583045656417259,2.13e+05,1.55e+05,2.10e+05,219630.88033678083,432816.6572307963,775500.7037917189,20563.06427685356,100000000.0,0.00013644320673680596,0.5042199554305674,0.4236099337522026,0.4075746710749229,0.7435589267399875,0.94,0.4672531909372407,0.14751993094024118,6.275556006548024e-05,0.0004114013303982387,2.0132680563539767,3.265333052476348,6.4577696412562755,0.0,0.0,0.0,19.67579589474439,20.01649694460345,19.869773825494658,1683.0,1235.0,
27,7579.3890,3.84e+12,1.13e+14,1.41e+13,1.0,0.0,1566.2840463921088,2041.951197491914,0.09035708465988018,0.5583045656417259,2.13e+05,1.55e+05,2.10e+05,219630.88033678083,432816.6572307963,775500.7037917189,20563.06427685356,100000000.0,0.00013644320673680596,0.5042199554305674,0.4236099337522026,0.4075746710749229,0.7435589267399875,0.94,0.4672531909372407,0.14751993094024118,6.275556006548024e-05,0.0004114013303982387,2.0132680563539767,3.265333052476348,6.4577696412562755,0.0,0.0,0.0,19.67579589474439,20.01649694460345,19.869773825494658,1683.0,1235.0,
28,7860.6960,3.84e+12,1.13e+14,1.41e+13,1.0,0.0,1566.2840463921088,2041.951197491914,0.09035708465988018,0.5583045656417259,2.13e+05,1.55e+05,2.10e+05,219630.88033678083,432816.6572307963,775500.7037917189,20563.06427685356,100000000.0,0.00013644320673680596,0.5042199554305674,0.4236099337522026,0.4075746710749229,0.7435589267399875,0.94,0.4672531909372407,0.14751993094024118,6.275556006548024e-05,0.0004114013303982387,2.0132680563539767,3.265333052476348,6.4577696412562755,0.0,0.0,0.0,19.67579589474439,20.01649694460345,19.869773825494658,1683.0,1235.0,
29,8136.7550,3.52e+12,1.13e+14,1.28e+13,1.0,0.0,1439.5383688159018,2231.4704291364997,0.09355998393025519,0.571310954733253,1.81e+05,1.55e+05,1.93e+05,204975.76057928707,434857.6145146151,777302.2152617266,20955.45147787573,100000000.0,8.221237686978433e-05,0.4740483395063456,0.432780648564669,0.39932470958595934,0.7153684878039617,0.94,0.4606290898615835,0.14449457318201445,5.4829477004683284e-05,0.00042467235891575634,1.9734984983270643,2.994260624868949,6.836979693778224,0.0,0.0,0.0,19.4182464810041,20.4878809000964,20.552782070029174,1683.0,1235.0,
30,8411.9620,3.52e+12,1.04e+14,1.30e+13,1.0,0.0,1688.316247477776,2121.8905141740174,0.08705416730568286,0.5596748458737315,2.32e+05,1.47e+05,2.38e+05,198565.30063661982,480292.27367847215,834471.7749273763,22633.31301115988,100000000.0,7.924249138604024e-05,0.4885980476914373,0.43069971300178633,0.45824587280165074,0.7104681986100844,0.94,0.5023342790046696,0.15258240479469026,5.640451862762184e-05,0.0004954998302677328,2.008667078995764,3.016218634099779,5.9253420202422635,0.0,0.0,0.0,19.853841167680375,19.81582397249103,20.58636586555719,1683.0,1235.0,
31,8690.9380,3.52e+12,1.04e+14,1.30e+13,1.0,0.0,1688.316247477776,2121.8905141740174,0.08705416730568286,0.5596748458737315,2.32e+05,1.47e+05,2.38e+05,198565.30063661982,480292.27367847215,834471.7749273763,22633.31301115988,100000000.0,7.924249138604024e-05,0.4885980476914373,0.43069971300178633,0.45824587280165074,0.7104681986100844,0.94,0.5023342790046696,0.15258240479469026,5.640451862762184e-05,0.0004954998302677328,2.008667078995764,3.016218634099779,5.9253420202422635,0.0,0.0,0.0,19.853841167680375,19.81582397249103,20.58636586555719,1683.0,1235.0,
32,8962.2050,3.52e+12,1.04e+14,1.30e+13,1.0,0.0,1688.316247477776,2121.8905141740174,0.08705416730568286,0.5596748458737315,2.32e+05,1.47e+05,2.38e+05,198565.30063661982,480292.27367847215,834471.7749273763,22633.31301115988,100000000.0,7.924249138604024e-05,0.4885980476914373,0.43069971300178633,0.45824587280165074,0.7104681986100844,0.94,0.5023342790046696,0.15258240479469026,5.640451862762184e-05,0.0004954998302677328,2.008667078995764,3.016218634099779,5.9253420202422635,0.0,0.0,0.0,19.853841167680375,19.81582397249103,20.58636586555719,1683.0,1235.0,
33,9234.8390,3.52e+12,1.04e+14,1.30e+13,1.0,0.0,1688.316247477776,2121.8905141740174,0.08705416730568286,0.5596748458737315,2.32e+05,1.47e+05,2.38e+05,198565.30063661982,480292.27367847215,834471.7749273763,22633.31301115988,100000000.0,7.924249138604024e-05,0.4885980476914373,0.43069971300178633,0.45824587280165074,0.7104681986100844,0.94,0.5023342790046696,0.15258240479469026,5.640451862762184e-05,0.0004954998302677328,2.008667078995764,3.016218634099779,5.9253420202422635,0.0,0.0,0.0,19.853841167680375,19.81582397249103,20.58636586555719,1683.0,1235.0,
34,9500.3040,3.52e+12,1.04e+14,1.30e+13,1.0,0.0,1688.316247477776,2121.8905141740174,0.08705416730568286,0.5596748458737315,2.32e+05,1.47e+05,2.38e+05,198565.30063661982,480292.27367847215,834471.7749273763,22633.31301115988,100000000.0,7.924249138604024e-05,0.4885980476914373,0.43069971300178633,0.45824587280165074,0.7104681986100844,0.94,0.5023342790046696,0.15258240479469026,5.640451862762184e-05,0.0004954998302677328,2.008667078995764,3.016218634099779,5.9253420202422635,0.0,0.0,0.0,19.853841167680375,19.81582397249103,20.58636586555719,1683.0,1235.0,
35,9761.1220,3.65e+12,1.10e+14,1.35e+13,1.0,0.0,1581.1431320234112,2217.8180588173636,0.09238770108124406,0.5689632116501955,2.14e+05,1.52e+05,1.97e+05,222186.3084365181,436541.1645752222,837584.8025918452,20923.968395900716,100000000.0,7.470186810022634e-05,0.5088927751033222,0.4354379027123717,0.4215332752588669,0.7286165933571843,0.94,0.4507264850315317,0.14348643863239946,6.129102259580334e-05,0.0004403638908966607,2.1159705736417926,2.9759876395407763,6.514216771249249,0.0,0.0,0.0,19.81236303994444,20.13408353471493,20.323918937400435,1683.0,1235.0,
36,10028.9360,3.45e+12,1.14e+14,1.41e+13,1.0,0.0,1629.4359025705535,2236.368504591259,0.09446253818563016,0.550730237554804,2.20e+05,1.48e+05,2.15e+05,221700.35368678335,462105.16430363426,827830.014632514,21390.857985064235,100000000.0,6.0589905945954857e-05,0.5080701281330419,0.43517615228391876,0.4491479361797591,0.6897703722793407,0.94,0.438129258543955,0.1435902122403561,6.379379572320379e-05,0.00043190318768214866,2.0310422816940443,2.8231200217152974,6.551300847437561,0.0,0.0,0.0,19.870147861260996,20.321071029062914,20.411070330644336,1683.0,1235.0,
37,10287.9310,3.69e+12,1.12e+14,1.30e+13,1.0,0.0,1629.3148121595939,2100.1315582798748,0.09220965954528212,0.5656058375958462,2.21e+05,1.51e+05,2.07e+05,226184.89840946303,451069.952818286,811592.3463799213,21013.93177468304,100000000.0,5.798152871674955e-05,0.5145035139207177,0.43221709323871815,0.4215197638034492,0.7328310160075249,0.94,0.4575017594149865,0.14590446908818905,5.938828533907288e-05,0.00042630006304945423,2.1337812612769196,2.9254994262463048,6.522267739732811,0.0,0.0,0.0,19.649966295003658,19.94866146875473,19.910932875505594,1683.0,1235.0,
38,10531.2530,3.68e+12,1.13e+14,1.31e+13,1.0,0.0,1606.6030833732339,2130.3459958779886,0.09403112647676941,0.5567610711684985,2.26e+05,1.51e+05,2.09e+05,217685.6222819328,451383.9485279651,817011.2951856635,20797.338809736844,100000000.0,5.1341360606385615e-05,0.5111934403239746,0.43223979966597637,0.43470503626954865,0.7178637035242651,0.94,0.4623779722140742,0.14507761385026013,6.08838149228631e-05,0.00043868629044670676,2.080255483375807,2.915909179433614,6.567901654057889,0.0,0.0,0.0,19.668067953711365,20.006107551814175,20.17659034301061,1683.0,1235.0,
39,10758.2860,3.52e+12,1.06e+14,1.32e+13,1.0,0.0,1576.9373642102896,2095.545595010609,0.09365019242345368,0.5735343758840067,2.31e+05,1.50e+05,2.16e+05,219296.78223154525,452297.8622211553,802742.3503372332,21236.16532172753,100000000.0,4.07462509670266e-05,0.4907675855821254,0.4341055765380164,0.4420165017980272,0.7004823233334516,0.94,0.45226158014233553,0.14227584984484523,6.04053525588988e-05,0.00041408542014766115,2.025229092993294,2.782046502199674,6.69637186908472,0.0,0.0,0.0,20.08560922661635,20.16424145542734,20.39877608104272,1683.0,1235.0,
40,10956.7850,3.48e+12,1.07e+14,1.31e+13,1.0,0.0,1674.9594194472531,2048.744533293123,0.0923505348206612,0.5666422560823909,2.34e+05,1.49e+05,2.23e+05,216833.8841472275,468466.9389611472,814834.9731451424,21414.76550859119,100000000.0,3.20459346843455e-05,0.50466908951857,0.43542542910820264,0.45520163587526336,0.7146879960777359,0.94,0.4661708972055647,0.13795240092181316,6.08867036683521e-05,0.00040169959072108375,2.0207038796130705,2.4950854193575855,7.055524824067071,0.0,0.0,0.0,19.972347181305537,19.86414864652993,20.40900962078105,1683.0,1235.0,
41,11172.4800,3.49e+12,1.02e+14,1.27e+13,1.0,0.0,1628.2234721762893,2171.79917218595,0.09252191375515703,0.554336729703581,2.23e+05,1.48e+05,2.18e+05,225665.58347856792,478267.89641878294,836134.2492474262,20960.27202459075,100000000.0,2.982308899830876e-05,0.5014691155313793,0.43519532289212404,0.4707082629022842,0.6927092624832417,0.94,0.4674778260642254,0.13844948623061334,5.862710172299203e-05,0.0004044212972033296,1.9985303623546136,2.3354547910780346,6.9238131766506745,0.0,0.0,0.0,20.04293192717786,19.99368599047042,20.235051013059795,1683.0,1235.0,
42,11402.6820,3.56e+12,1.04e+14,1.31e+13,1.0,0.0,1593.566623572135,2083.447950753954,0.09193584434585829,0.5731556704602359,2.31e+05,1.51e+05,2.27e+05,220167.91582042043,472257.17477995984,841902.3152324829,21492.741544087115,100000000.0,2.4616127974014408e-05,0.5109319669396244,0.43600507988624926,0.47521734709842595,0.7189726606125535,0.94,0.4832339385880362,0.14017271526545594,5.916842413869556e-05,0.00039585802978582714,1.9897656345705812,2.228079793066252,7.05072363652933,0.0,0.0,0.0,20.079187590124192,19.987211900765423,20.554727218207383,1683.0,1235.0,
43,11615.9140,3.47e+12,1.01e+14,1.37e+13,1.0,0.0,1591.812912474287,2148.317184952687,0.09327778491685923,0.5641763845609228,2.22e+05,1.51e+05,2.26e+05,217536.28367223253,466861.92959380115,810132.1571282744,21339.758167206834,100000000.0,2.0181183792080224e-05,0.4895247013955569,0.4355910095755651,0.4521620089856951,0.710974617300737,0.94,0.47273653660441106,0.13601697488505887,6.025946645579212e-05,0.00037007208213362156,1.9821752366217966,2.2434287666357777,7.035463753815245,0.0,0.0,0.0,20.010131325734335,19.98548779975043,20.44364779014886,1683.0,1235.0,
44,11831.4130,3.50e+12,1.03e+14,1.29e+13,1.0,0.0,1595.62290014563,2042.3225788635636,0.0936802343585578,0.5745328735320729,2.19e+05,1.51e+05,2.17e+05,219262.27744697715,471069.8367387414,801690.5792809343,21492.88480511662,100000000.0,1.9185569157427758e-05,0.4881639960898977,0.4359785160360149,0.45502320991296236,0.7096511474148812,0.94,0.4812554910858423,0.13372190791768018,6.001705936198366e-05,0.00035217884661196535,1.9884975557504756,2.126832541788628,7.184041594267861,0.0,0.0,0.0,20.12944636589382,19.897301827120664,20.562649327511004,1683.0,1235.0,
