Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,r0-qIgn,r1-qIgn,r2-qIgn,p0-rho,p1-rho,
-1,0,7.56e+11,1.37e+14,4.09e+12,1.0,0.0,398.7480515253153,953.5209052242105,0.05669864270844508,0.4712759308031176,1.98e+05,7.55e+05,2.90e+05,75368.84827276884,713786.9811169753,811100.6064800153,14369.538105212981,100000000.0,0.000537141953375307,0.29784080592524476,0.9836947759884318,0.45219574059446016,0.9119567745672786,0.94,0.2151666172689933,0.37045979065212353,3.442765843384923e-05,0.0010129802810918999,2.936483834525978,2.968680558331183,7.882087465471475,0.0,0.0,0.0,16.705943665885176,19.144251563110032,19.939811982084475,1683.0,1235.0,
0,198.3880,4.96e+12,1.61e+14,3.06e+12,1.0,0.0,1665.755353687584,2753.247263866209,0.07073066783559381,0.682233995752607,2.83e+05,1.58e+05,2.98e+05,217890.4618201516,583256.0067038345,1152619.543930913,22889.135566653993,100000000.0,0.0004942337269943049,0.46747649422468285,0.40838626294415925,0.790351822618298,0.8832032789390865,0.94,0.5509297224306386,0.08562407650591852,5.927963115708286e-05,0.0003710607905841186,0.830673670447696,1.3156284691449,5.321567669075359,0.0,0.0,0.0,17.78332695484354,17.494669278340037,17.624400425844087,1683.0,1235.0,
1,447.7860,4.70e+12,8.80e+13,1.41e+13,1.0,0.0,1400.6834111062567,2347.8965092645753,0.1446594213096702,0.7503613863871539,1.54e+05,4.27e+05,2.12e+05,357325.39336422284,444537.05517822853,1239052.2453383647,26035.095923405443,100000000.0,0.00047634069358588963,0.4624249253433652,0.5862846572916436,0.2780383649147832,0.8529676416298846,0.94,0.31960512561865717,0.280739617135433,4.2710409268696884e-05,0.00047010400336971276,0.7213930415271981,4.400278751163963,3.4291205706257966,0.0,0.0,0.0,19.955085883066822,19.701851131465496,19.937062057563363,1683.0,1235.0,
2,715.3750,4.70e+12,8.80e+13,1.41e+13,1.0,0.0,1400.6834111062567,2347.8965092645753,0.1446594213096702,0.7503613863871539,1.54e+05,4.27e+05,2.12e+05,357325.39336422284,444537.05517822853,1239052.2453383647,26035.095923405443,100000000.0,0.00047634069358588963,0.4624249253433652,0.5862846572916436,0.2780383649147832,0.8529676416298846,0.94,0.31960512561865717,0.280739617135433,4.2710409268696884e-05,0.00047010400336971276,0.7213930415271981,4.400278751163963,3.4291205706257966,0.0,0.0,0.0,19.955085883066822,19.701851131465496,19.937062057563363,1683.0,1235.0,
3,981.3040,3.48e+12,7.94e+13,1.87e+13,1.0,0.0,1426.7723452490811,1643.0808000882334,0.07700762413029615,0.4079521502777792,2.37e+05,1.60e+05,1.58e+05,236151.92065939377,287937.56335547916,1089526.6904531354,16797.249883981956,100000000.0,0.0004435635257960648,0.3954715849125623,0.45782227746576465,0.4183658550918685,0.8222055415702667,0.94,0.6156020993597091,0.13747976371512013,3.236914449730071e-05,0.00047677386738607887,2.3199086598899092,3.581739710022659,6.238622275230039,0.0,0.0,0.0,19.86736169999065,19.188930945420534,18.75325274039468,1683.0,1235.0,
4,1248.6120,3.48e+12,7.94e+13,1.87e+13,1.0,0.0,1426.7723452490811,1643.0808000882334,0.07700762413029615,0.4079521502777792,2.37e+05,1.60e+05,1.58e+05,236151.92065939377,287937.56335547916,1089526.6904531354,16797.249883981956,100000000.0,0.0004435635257960648,0.3954715849125623,0.45782227746576465,0.4183658550918685,0.8222055415702667,0.94,0.6156020993597091,0.13747976371512013,3.236914449730071e-05,0.00047677386738607887,2.3199086598899092,3.581739710022659,6.238622275230039,0.0,0.0,0.0,19.86736169999065,19.188930945420534,18.75325274039468,1683.0,1235.0,
5,1510.4910,3.48e+12,7.94e+13,1.87e+13,1.0,0.0,1426.7723452490811,1643.0808000882334,0.07700762413029615,0.4079521502777792,2.37e+05,1.60e+05,1.58e+05,236151.92065939377,287937.56335547916,1089526.6904531354,16797.249883981956,100000000.0,0.0004435635257960648,0.3954715849125623,0.45782227746576465,0.4183658550918685,0.8222055415702667,0.94,0.6156020993597091,0.13747976371512013,3.236914449730071e-05,0.00047677386738607887,2.3199086598899092,3.581739710022659,6.238622275230039,0.0,0.0,0.0,19.86736169999065,19.188930945420534,18.75325274039468,1683.0,1235.0,
6,1787.7160,2.63e+12,7.12e+13,1.00e+13,1.0,0.0,1883.4629815926291,2704.03059117553,0.054862777565119786,0.7144030897111298,2.67e+05,1.42e+05,2.08e+05,212072.08649986028,427671.74410806864,908887.5173701488,13418.499262219088,100000000.0,0.0003658547894303238,0.6257915083652477,0.44856578554607274,0.47378665981433976,0.6527317184614976,0.94,0.6132045141650602,0.15278129929968745,7.981779171577963e-05,0.0004787207719867676,1.962211136880022,2.9909593501084446,7.854734650991995,0.0,0.0,0.0,19.75210047664926,20.621210255236647,18.26125026040385,1683.0,1235.0,
7,2067.1380,2.63e+12,7.12e+13,1.00e+13,1.0,0.0,1883.4629815926291,2704.03059117553,0.054862777565119786,0.7144030897111298,2.67e+05,1.42e+05,2.08e+05,212072.08649986028,427671.74410806864,908887.5173701488,13418.499262219088,100000000.0,0.0003658547894303238,0.6257915083652477,0.44856578554607274,0.47378665981433976,0.6527317184614976,0.94,0.6132045141650602,0.15278129929968745,7.981779171577963e-05,0.0004787207719867676,1.962211136880022,2.9909593501084446,7.854734650991995,0.0,0.0,0.0,19.75210047664926,20.621210255236647,18.26125026040385,1683.0,1235.0,
8,2329.2160,2.63e+12,7.12e+13,1.00e+13,1.0,0.0,1883.4629815926291,2704.03059117553,0.054862777565119786,0.7144030897111298,2.67e+05,1.42e+05,2.08e+05,212072.08649986028,427671.74410806864,908887.5173701488,13418.499262219088,100000000.0,0.0003658547894303238,0.6257915083652477,0.44856578554607274,0.47378665981433976,0.6527317184614976,0.94,0.6132045141650602,0.15278129929968745,7.981779171577963e-05,0.0004787207719867676,1.962211136880022,2.9909593501084446,7.854734650991995,0.0,0.0,0.0,19.75210047664926,20.621210255236647,18.26125026040385,1683.0,1235.0,
