Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,r0-qIgn,p0-rho,p1-rho,
-1,0,2.45e+12,1.0,0.0,1135.7074509200638,1319.2314706232585,0.03861138090009915,0.868370972742787,1.77e+05,61401.32080903355,31141.66863416535,100000000.0,0.0011124018606939751,0.7338086749851456,0.7251998597906328,0.94,0.5244512167139532,0.02455646855777882,4.345679866170053e-05,0.0005713090181040854,0.96947897801217,0.0,15.37680602781792,1683.0,1235.0,
0,47.5920,2.45e+12,1.0,0.0,1135.7074509200638,1319.2314706232585,0.03861138090009915,0.868370972742787,1.77e+05,61401.32080903355,31141.66863416535,100000000.0,0.0011124018606939751,0.7338086749851456,0.7251998597906328,0.94,0.5244512167139532,0.02455646855777882,4.345679866170053e-05,0.0005713090181040854,0.96947897801217,0.0,15.37680602781792,1683.0,1235.0,
1,99.2040,2.45e+12,1.0,0.0,1135.7074509200638,1319.2314706232585,0.03861138090009915,0.868370972742787,1.77e+05,61401.32080903355,31141.66863416535,100000000.0,0.0011124018606939751,0.7338086749851456,0.7251998597906328,0.94,0.5244512167139532,0.02455646855777882,4.345679866170053e-05,0.0005713090181040854,0.96947897801217,0.0,15.37680602781792,1683.0,1235.0,
2,164.7150,2.31e+12,1.0,0.0,1406.1819172262408,1674.4099492396429,0.12719172981424398,0.7041463494687894,1.80e+05,54669.08056145924,23839.208643996248,100000000.0,0.001009841826316746,0.7338086749851456,0.8913749082476877,0.94,0.7802275226606908,0.11731435190837403,0.0001108453441400348,0.0006373175168845828,0.9839129260405306,0.0,17.157166131832795,1683.0,1235.0,
3,231.5580,2.37e+12,1.0,0.0,1113.8890682258077,1019.0309215888815,0.12887855387953784,0.7283669085287414,1.79e+05,75529.0505759242,29746.402798906092,100000000.0,0.0009058206187326711,0.7338086749851456,0.741183144717264,0.94,0.6312697185924838,0.14295020521804042,8.940228757637569e-05,0.00034527753445817087,0.9931512843510202,0.0,19.463308569353412,1683.0,1235.0,
4,297.1660,2.37e+12,1.0,0.0,1269.9434427849337,1668.8046338416507,0.09970182620041687,0.6683672959591946,1.80e+05,109189.15198125952,23318.939118810827,100000000.0,0.0005417885806741193,0.7338086749851456,0.9401073964202471,0.94,0.5852579696103571,0.15175118661117185,8.041478273936847e-05,0.0005973576439325674,0.997618394503256,0.0,20.11825949807514,1683.0,1235.0,
5,371.4610,2.37e+12,1.0,0.0,1269.9434427849337,1668.8046338416507,0.09970182620041687,0.6683672959591946,1.80e+05,109189.15198125952,23318.939118810827,100000000.0,0.0005417885806741193,0.7338086749851456,0.9401073964202471,0.94,0.5852579696103571,0.15175118661117185,8.041478273936847e-05,0.0005973576439325674,0.997618394503256,0.0,20.11825949807514,1683.0,1235.0,
6,444.7060,2.38e+12,1.0,0.0,1291.7132948760811,1374.5321787014423,0.08604018791066231,0.4722101190508745,1.79e+05,105920.55707699372,27749.590561951823,100000000.0,0.0005088516780865256,0.7338086749851456,0.912309348224013,0.94,0.5353151495762881,0.10368994474502119,6.785150703836493e-05,0.0005444070500732951,0.9674458763729568,0.0,18.45273890567283,1683.0,1235.0,
7,516.1280,2.41e+12,1.0,0.0,1246.6586378290945,1327.398047810372,0.09121860368199985,0.5653622264994627,1.79e+05,101964.81511370171,24956.35947050488,100000000.0,0.0003603432657034877,0.7338086749851456,0.9339251166043598,0.94,0.4728420482940836,0.14524697157561411,8.242604678054688e-05,0.0004467821226659328,0.9694212107188998,0.0,18.58029550252047,1683.0,1235.0,
8,586.1060,2.44e+12,1.0,0.0,1092.516806318937,1242.8584018897236,0.09769952632224628,0.49867399671096013,1.81e+05,130904.82745586478,20126.15383578336,100000000.0,0.00018014385881456977,0.7338086749851456,0.9307692110304118,0.94,0.33953682922014505,0.1583937014340126,6.741357086435229e-05,0.0005481307196099792,1.0013788400208803,0.0,19.88748929440365,1683.0,1235.0,
9,658.0120,2.46e+12,1.0,0.0,1159.9899450408057,1147.8447143467351,0.09624328033575497,0.5415998462708786,1.81e+05,130117.3650592486,21773.529219391225,100000000.0,0.00014932685984161574,0.7338086749851456,0.9818857190576098,0.94,0.35220376164614486,0.14709586954339493,6.0702181319420134e-05,0.0005871450429135617,1.0066529964435051,0.0,18.099173943297185,1683.0,1235.0,
10,730.7330,2.42e+12,1.0,0.0,1136.2573981725386,1239.400836655796,0.08853549280797052,0.4858578421822919,1.80e+05,125587.7415939918,23081.624468864626,100000000.0,0.00013005275626912032,0.7338086749851456,0.9577718800577677,0.94,0.3469715148342787,0.11159088816497845,7.062544162350905e-05,0.0005876833361767589,1.0109485195126569,0.0,18.98624946775918,1683.0,1235.0,
11,806.4760,2.42e+12,1.0,0.0,1060.0415985301688,1257.4808168559366,0.09207504793187146,0.4641971449350457,1.80e+05,130077.68739455573,21620.279527552877,100000000.0,0.0001060317560684636,0.7338086749851456,0.9347806538546317,0.94,0.3098923991310501,0.11735738766272039,5.9529196162416875e-05,0.0005853698527023589,1.002330924980337,0.0,19.176225106163706,1683.0,1235.0,
