,10kW,60kW,100kW
1Mass,0.056757136608333335,0.0022975011999999697,0.002919529283333353
2Mass,0.06228245333666666,0.000952954433333301,0.0024021427166666886
2MassTGA,0.00483559689,0.00037293984166666776,0.0003612654749999847
3Mass,0.03491975302333334,0.000752782074999964,0.0017191840333333345
FTBT,0.016241305915000004,0.004056690774999976,0.005400465733333362
TGA,0.026115397465000002,0.004527732249999971,0.004816160841666684
TGABT,0.00215791261,0.0008403837166667103,0.0010733040416666415
BT,0.027930817001666677,0.004553383508333334,0.005644912525000054
