s,m,,1/s,W/m2/K,C,C
Time,"Wall thickness","mpua","mlrpua","Front HTC","Front T","Back T"
 4.4000000E+001, 8.0000004E-003, 1.0000000E+000, 1.0290341E-009, 1.5000000E+001, 1.9678339E+002, 3.3216740E+001
 4.5000000E+001, 8.0000004E-003, 1.0000000E+000, 1.2347486E-009, 1.5000000E+001, 1.9847285E+002, 3.3827606E+001
 4.6000000E+001, 8.0000004E-003, 1.0000000E+000, 1.4748693E-009, 1.5000000E+001, 2.0013310E+002, 3.4458294E+001
 4.7000000E+001, 8.0000004E-003, 1.0000000E+000, 1.7542530E-009, 1.5000000E+001, 2.0176512E+002, 3.5108299E+001
 4.8000000E+001, 8.0000004E-003, 1.0000000E+000, 2.0781021E-009, 1.5000000E+001, 2.0336935E+002, 3.5777122E+001
 4.9000000E+001, 8.0000004E-003, 1.0000000E+000, 2.4520759E-009, 1.5000000E+001, 2.0494662E+002, 3.6464283E+001
 5.0000000E+001, 8.0000004E-003, 1.0000000E+000, 2.8824081E-009, 1.5000000E+001, 2.0649886E+002, 3.7169273E+001
 5.1000000E+001, 8.0000004E-003, 1.0000000E+000, 3.3762706E-009, 1.5000000E+001, 2.0802591E+002, 3.7891590E+001
 5.2000000E+001, 7.9999994E-003, 1.0000000E+000, 3.9409698E-009, 1.5000000E+001, 2.0952888E+002, 3.8630718E+001
 5.3000000E+001, 7.9999994E-003, 1.0000000E+000, 4.5848330E-009, 1.5000000E+001, 2.1100920E+002, 3.9386181E+001
 5.4000000E+001, 7.9999994E-003, 9.9999994E-001, 5.3171281E-009, 1.5000000E+001, 2.1246686E+002, 4.0157486E+001
 5.5000000E+001, 7.9999994E-003, 9.9999994E-001, 6.1473795E-009, 1.5000000E+001, 2.1390350E+002, 4.0944141E+001
 5.6000000E+001, 7.9999994E-003, 9.9999994E-001, 7.0867388E-009, 1.5000000E+001, 2.1531914E+002, 4.1745667E+001
 5.7000000E+001, 7.9999994E-003, 9.9999994E-001, 8.1463982E-009, 1.5000000E+001, 2.1671420E+002, 4.2561584E+001
 5.8000000E+001, 7.9999994E-003, 9.9999994E-001, 9.3386996E-009, 1.5000000E+001, 2.1809019E+002, 4.3391430E+001
 5.9000000E+001, 7.9999994E-003, 9.9999994E-001, 1.0677808E-008, 1.5000000E+001, 2.1944716E+002, 4.4234749E+001
 6.0000000E+001, 7.9999994E-003, 9.9999994E-001, 1.2177972E-008, 1.5000000E+001, 2.2078603E+002, 4.5091084E+001
 6.1000000E+001, 7.9999994E-003, 9.9999988E-001, 1.3855296E-008, 1.5000000E+001, 2.2210747E+002, 4.5960007E+001
 6.2000000E+001, 7.9999994E-003, 9.9999988E-001, 1.5726856E-008, 1.5000000E+001, 2.2341209E+002, 4.6841061E+001
 6.3000000E+001, 7.9999994E-003, 9.9999988E-001, 1.7811189E-008, 1.5000000E+001, 2.2470009E+002, 4.7733829E+001
 6.4000000E+001, 7.9999994E-003, 9.9999982E-001, 2.0127525E-008, 1.5000000E+001, 2.2597240E+002, 4.8637890E+001
 6.5000000E+001, 7.9999994E-003, 9.9999982E-001, 2.2697709E-008, 1.5000000E+001, 2.2722990E+002, 4.9552872E+001
 6.6000000E+001, 7.9999994E-003, 9.9999982E-001, 2.5545170E-008, 1.5000000E+001, 2.2847185E+002, 5.0478340E+001
 6.7000000E+001, 7.9999994E-003, 9.9999976E-001, 2.8692076E-008, 1.5000000E+001, 2.2970007E+002, 5.1413910E+001
 6.8000000E+001, 7.9999985E-003, 9.9999976E-001, 3.2167172E-008, 1.5000000E+001, 2.3091490E+002, 5.2359234E+001
 6.9000000E+001, 7.9999985E-003, 9.9999970E-001, 3.5998465E-008, 1.5000000E+001, 2.3211624E+002, 5.3313904E+001
 7.0000000E+001, 7.9999985E-003, 9.9999964E-001, 4.0215010E-008, 1.5000000E+001, 2.3330484E+002, 5.4277576E+001
 7.1000000E+001, 7.9999985E-003, 9.9999964E-001, 4.4849230E-008, 1.5000000E+001, 2.3448141E+002, 5.5249916E+001
