# Time [s], Convective Heat Transfer Coefficient [W/m2K]
2.970000000000000000e+02,1.026652793971817701e+01
2.980000000000000000e+02,1.026843983521966663e+01
2.990000000000000000e+02,1.027033204166678182e+01
3.000000000000000000e+02,1.027220391505534280e+01
3.010000000000000000e+02,1.027405924803023751e+01
3.020000000000000000e+02,1.027589661722027792e+01
3.030000000000000000e+02,1.027771537685422309e+01
3.040000000000000000e+02,1.027951931311193157e+01
3.050000000000000000e+02,1.028130711257819740e+01
3.060000000000000000e+02,1.028307801704584001e+01
3.070000000000000000e+02,1.028483547451173052e+01
3.080000000000000000e+02,1.028657861362511206e+01
3.090000000000000000e+02,1.028830689588050440e+01
3.100000000000000000e+02,1.029002276835041485e+01
3.110000000000000000e+02,1.029172558024226625e+01
3.120000000000000000e+02,1.029341501297787254e+01
3.130000000000000000e+02,1.029509350944275248e+01
3.140000000000000000e+02,1.029676063860171453e+01
3.150000000000000000e+02,1.029841574915885438e+01
3.160000000000000000e+02,1.030006094905914082e+01
3.170000000000000000e+02,1.030169657862545662e+01
3.180000000000000000e+02,1.030332077230911381e+01
3.190000000000000000e+02,1.030493651718302850e+01
3.200000000000000000e+02,1.030654327011064808e+01
3.210000000000000000e+02,1.030814048858992571e+01
3.220000000000000000e+02,1.030973016378749918e+01
3.230000000000000000e+02,1.031131230260378828e+01
3.240000000000000000e+02,1.031288515086050595e+01
3.250000000000000000e+02,1.031445179786701161e+01
3.260000000000000000e+02,1.031601169920897654e+01
3.270000000000000000e+02,1.031756398121159535e+01
3.280000000000000000e+02,1.031911084932467837e+01
3.290000000000000000e+02,1.032065153905059418e+01
3.300000000000000000e+02,1.032218528678550662e+01
3.310000000000000000e+02,1.032371429533266394e+01
3.320000000000000000e+02,1.032523856883487134e+01
3.330000000000000000e+02,1.032675657464569241e+01
3.340000000000000000e+02,1.032827051297213572e+01
3.350000000000000000e+02,1.032978038732517767e+01
3.360000000000000000e+02,1.033128499479721363e+01
3.370000000000000000e+02,1.033278620382940360e+01
3.380000000000000000e+02,1.033428401731979029e+01
3.390000000000000000e+02,1.033577701364382051e+01
3.400000000000000000e+02,1.033726760693341973e+01
3.410000000000000000e+02,1.033875503260101780e+01
3.420000000000000000e+02,1.034023874590130987e+01
3.430000000000000000e+02,1.034172039174929125e+01
3.440000000000000000e+02,1.034319953417773164e+01
3.450000000000000000e+02,1.034467530015719028e+01
3.460000000000000000e+02,1.034614955160920680e+01
3.470000000000000000e+02,1.034762185245935839e+01
3.480000000000000000e+02,1.034909165783174956e+01
3.490000000000000000e+02,1.035056039024035712e+01
3.500000000000000000e+02,1.035202761360242718e+01
3.510000000000000000e+02,1.035349289232871861e+01
