A	 = 3.36e+12,1.26e+14,
C0	 = 1.0,0.0,
Cpa	 = 270.006755016459,2069.156542319857,
Cpb	 = 0.011306616079248138,0.930972753002884,
E	 = 6.54e+05,1.97e+05,
Hp	 = 397762.9395235579,67137.86620505882,
K	 = 2507.2095593033964,100000000.0,
Value	 = 0.005794205267965152,
Xi	 = 0.9005470108208141,0.5817263431266371,
eps	 = 0.3448215951471739,0.94,
ka	 = 1.2479944446799702,0.35429820701682624,
kb	 = 0.00016755731976237972,0.001130679463899033,
n	 = 2.8997975791063135,2.248308463411198,
nO2	 = 0.0,0.0,
rho	 = 1683.0,1235.0,
