A	 = 2.25e+12,7.53e+13,9.12e+12,
C0	 = 1.0,0.0,
Cpa	 = 1046.4631913432213,1170.0025542636313,
Cpb	 = 0.04553904871810482,0.4538234768823984,
E	 = 1.80e+05,1.84e+05,1.71e+05,
Hp	 = 218012.15683976968,268134.3417018588,406661.163708349,
K	 = 19174.206376817092,100000000.0,
Value	 = 7.801370298080832e-07,
Xi	 = 0.751788336454069,0.4920990923143149,0.3056002718941164,
eps	 = 0.8453044989606804,0.94,
ka	 = 0.28546996877646846,0.09675292082559775,
kb	 = 6.684877534081108e-05,0.00030319267149325074,
n	 = 0.9600749708729368,1.4480217502659003,3.047890429433801,
nO2	 = 0.0,0.0,0.0,
rho	 = 1683.0,1235.0,
