Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
-1,0,4.95e+12,1.05e+14,1.61e+13,1.0,0.0,842.2661098655783,545.5849130111064,0.17592351145800772,0.2781454116017623,7.07e+05,1.63e+05,2.44e+05,389897.64713658724,679770.266024237,1589920.9635230785,15872.930373239764,100000000.0,0.002296545169466834,0.4100501327968768,0.45913455831667377,0.679483855583537,0.6797124189564074,0.94,0.29590097371889734,0.02573668432917413,1.1245761486582171e-05,0.0010508478544888214,2.4252680030117895,1.302360448016766,7.273401694245543,0.0,0.0,0.0,1683.0,1235.0,
0,271.2630,4.95e+12,1.05e+14,1.61e+13,1.0,0.0,842.2661098655783,545.5849130111064,0.17592351145800772,0.2781454116017623,7.07e+05,1.63e+05,2.44e+05,389897.64713658724,679770.266024237,1589920.9635230785,15872.930373239764,100000000.0,0.002296545169466834,0.4100501327968768,0.45913455831667377,0.679483855583537,0.6797124189564074,0.94,0.29590097371889734,0.02573668432917413,1.1245761486582171e-05,0.0010508478544888214,2.4252680030117895,1.302360448016766,7.273401694245543,0.0,0.0,0.0,1683.0,1235.0,
1,546.5530,4.95e+12,1.05e+14,1.61e+13,1.0,0.0,842.2661098655783,545.5849130111064,0.17592351145800772,0.2781454116017623,7.07e+05,1.63e+05,2.44e+05,389897.64713658724,679770.266024237,1589920.9635230785,15872.930373239764,100000000.0,0.002296545169466834,0.4100501327968768,0.45913455831667377,0.679483855583537,0.6797124189564074,0.94,0.29590097371889734,0.02573668432917413,1.1245761486582171e-05,0.0010508478544888214,2.4252680030117895,1.302360448016766,7.273401694245543,0.0,0.0,0.0,1683.0,1235.0,
2,826.2978,2.28e+12,8.89e+13,1.20e+13,1.0,0.0,1291.4742659593958,1537.8383282181203,0.09938709240447458,0.7945701159551709,2.86e+05,2.32e+05,1.52e+05,144230.1916651447,313680.6220453542,457749.52224694216,17944.117416871217,100000000.0,0.0018860898809343447,0.48985412928568706,0.529709764742251,0.3808573330274011,0.7447541385801107,0.94,0.6361233565671058,0.10882963842175264,5.6080142919881745e-05,0.0006436472651584859,1.1177662448695367,3.680113053008243,4.523669910124415,0.0,0.0,0.0,1683.0,1235.0,
3,1107.0174,2.28e+12,8.89e+13,1.20e+13,1.0,0.0,1291.4742659593958,1537.8383282181203,0.09938709240447458,0.7945701159551709,2.86e+05,2.32e+05,1.52e+05,144230.1916651447,313680.6220453542,457749.52224694216,17944.117416871217,100000000.0,0.0018860898809343447,0.48985412928568706,0.529709764742251,0.3808573330274011,0.7447541385801107,0.94,0.6361233565671058,0.10882963842175264,5.6080142919881745e-05,0.0006436472651584859,1.1177662448695367,3.680113053008243,4.523669910124415,0.0,0.0,0.0,1683.0,1235.0,
4,1382.6938,2.28e+12,8.89e+13,1.20e+13,1.0,0.0,1291.4742659593958,1537.8383282181203,0.09938709240447458,0.7945701159551709,2.86e+05,2.32e+05,1.52e+05,144230.1916651447,313680.6220453542,457749.52224694216,17944.117416871217,100000000.0,0.0018860898809343447,0.48985412928568706,0.529709764742251,0.3808573330274011,0.7447541385801107,0.94,0.6361233565671058,0.10882963842175264,5.6080142919881745e-05,0.0006436472651584859,1.1177662448695367,3.680113053008243,4.523669910124415,0.0,0.0,0.0,1683.0,1235.0,
5,1654.9360,2.28e+12,8.89e+13,1.20e+13,1.0,0.0,1291.4742659593958,1537.8383282181203,0.09938709240447458,0.7945701159551709,2.86e+05,2.32e+05,1.52e+05,144230.1916651447,313680.6220453542,457749.52224694216,17944.117416871217,100000000.0,0.0018860898809343447,0.48985412928568706,0.529709764742251,0.3808573330274011,0.7447541385801107,0.94,0.6361233565671058,0.10882963842175264,5.6080142919881745e-05,0.0006436472651584859,1.1177662448695367,3.680113053008243,4.523669910124415,0.0,0.0,0.0,1683.0,1235.0,
6,1928.5046,4.65e+12,1.87e+14,2.82e+13,1.0,0.0,2383.1510539297606,2746.9469149874176,0.11705857711780886,0.8849272069881624,1.26e+05,3.50e+05,4.82e+05,198572.61681854157,356069.1265180034,391846.23357372463,4916.992301971166,100000000.0,0.0016540373307546014,0.42666414658782403,0.8273759502888429,0.14800771923217837,0.3331669829702675,0.94,0.09262378763066115,0.20542308079239452,0.00013174129135940085,0.0004824759024160755,0.2616346439873932,0.9783263715182977,8.21708499523091,0.0,0.0,0.0,1683.0,1235.0,
7,2197.8143,4.46e+12,1.04e+14,1.33e+13,1.0,0.0,1954.6255068132632,1299.1216328227115,0.072261031443681,0.755347626960515,1.44e+05,1.43e+05,3.54e+05,245066.1997890716,550799.7127781007,673054.8579546758,21868.556968361867,100000000.0,0.0013296208534394015,0.4377699535714943,0.4331670660893673,0.610268100676651,0.7289983144378183,0.94,0.43219077367327846,0.1945903559506338,1.5556470815236635e-05,0.0006613213599053696,2.093764205586524,4.262116274246562,10.483853478278117,0.0,0.0,0.0,1683.0,1235.0,
8,2476.2982,4.46e+12,1.04e+14,1.33e+13,1.0,0.0,1954.6255068132632,1299.1216328227115,0.072261031443681,0.755347626960515,1.44e+05,1.43e+05,3.54e+05,245066.1997890716,550799.7127781007,673054.8579546758,21868.556968361867,100000000.0,0.0013296208534394015,0.4377699535714943,0.4331670660893673,0.610268100676651,0.7289983144378183,0.94,0.43219077367327846,0.1945903559506338,1.5556470815236635e-05,0.0006613213599053696,2.093764205586524,4.262116274246562,10.483853478278117,0.0,0.0,0.0,1683.0,1235.0,
9,2752.2475,4.46e+12,1.04e+14,1.33e+13,1.0,0.0,1954.6255068132632,1299.1216328227115,0.072261031443681,0.755347626960515,1.44e+05,1.43e+05,3.54e+05,245066.1997890716,550799.7127781007,673054.8579546758,21868.556968361867,100000000.0,0.0013296208534394015,0.4377699535714943,0.4331670660893673,0.610268100676651,0.7289983144378183,0.94,0.43219077367327846,0.1945903559506338,1.5556470815236635e-05,0.0006613213599053696,2.093764205586524,4.262116274246562,10.483853478278117,0.0,0.0,0.0,1683.0,1235.0,
10,3032.2295,4.46e+12,1.04e+14,1.33e+13,1.0,0.0,1954.6255068132632,1299.1216328227115,0.072261031443681,0.755347626960515,1.44e+05,1.43e+05,3.54e+05,245066.1997890716,550799.7127781007,673054.8579546758,21868.556968361867,100000000.0,0.0013296208534394015,0.4377699535714943,0.4331670660893673,0.610268100676651,0.7289983144378183,0.94,0.43219077367327846,0.1945903559506338,1.5556470815236635e-05,0.0006613213599053696,2.093764205586524,4.262116274246562,10.483853478278117,0.0,0.0,0.0,1683.0,1235.0,
11,3307.4072,4.46e+12,1.04e+14,1.33e+13,1.0,0.0,1954.6255068132632,1299.1216328227115,0.072261031443681,0.755347626960515,1.44e+05,1.43e+05,3.54e+05,245066.1997890716,550799.7127781007,673054.8579546758,21868.556968361867,100000000.0,0.0013296208534394015,0.4377699535714943,0.4331670660893673,0.610268100676651,0.7289983144378183,0.94,0.43219077367327846,0.1945903559506338,1.5556470815236635e-05,0.0006613213599053696,2.093764205586524,4.262116274246562,10.483853478278117,0.0,0.0,0.0,1683.0,1235.0,
12,3589.7715,4.46e+12,1.04e+14,1.33e+13,1.0,0.0,1954.6255068132632,1299.1216328227115,0.072261031443681,0.755347626960515,1.44e+05,1.43e+05,3.54e+05,245066.1997890716,550799.7127781007,673054.8579546758,21868.556968361867,100000000.0,0.0013296208534394015,0.4377699535714943,0.4331670660893673,0.610268100676651,0.7289983144378183,0.94,0.43219077367327846,0.1945903559506338,1.5556470815236635e-05,0.0006613213599053696,2.093764205586524,4.262116274246562,10.483853478278117,0.0,0.0,0.0,1683.0,1235.0,
