A	 = 2.29e+12,8.15e+13,8.63e+12,
C0	 = 1.0,0.0,
Cpa	 = 1058.7678635858947,1183.7293240107697,
Cpb	 = 0.04808193063224793,0.6708705908757029,
E	 = 1.79e+05,1.88e+05,1.72e+05,
Hp	 = 130108.94700484574,237446.95953775418,424893.92641681014,
K	 = 27208.002216245048,100000000.0,
Value	 = 3.308777304382891e-07,
Xi	 = 0.7670763790804342,0.49872256470125587,0.28289361616065467,
eps	 = 0.880589501865857,0.94,
ka	 = 0.3035104528766034,0.07332908372716962,
kb	 = 4.49967399854861e-05,0.00033577013049730057,
n	 = 0.9766150424898592,1.3905789164552198,3.11851703979727,
nO2	 = 0.0,0.0,0.0,
rho	 = 1683.0,1235.0,
