Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
-1,0,2.31e+12,7.53e+13,9.21e+12,1.0,0.0,561.4313769417708,3074.071158488831,0.028379728735642533,0.37888771044387504,1.68e+05,2.02e+05,1.65e+05,158133.4868443266,779944.5680888231,406477.57874130784,9021.578944649402,100000000.0,0.00038960422245113265,0.7427930466490951,0.4604859129415151,0.2804357353986658,0.4849898491979103,0.94,0.1981100550464061,0.06055302604065729,3.531039271467567e-05,0.0006522633083994282,1.0792787910991937,1.4202607244488632,2.982386862984759,0.0,0.0,0.0,1683.0,1235.0,
0,197.3798,2.29e+12,7.92e+13,9.04e+12,1.0,0.0,1076.2232254296496,1777.8324498165089,0.12639422144601345,0.7194196023147821,1.74e+05,1.88e+05,1.69e+05,144293.96675192317,261598.5538266955,409623.6181595645,13535.585373629014,100000000.0,0.00021264657711491728,0.75534636119731,0.5144846242343497,0.28295248179500776,0.8245528898545694,0.94,0.4782768950731385,0.12147053911658195,4.031598289763192e-05,0.0002114074951624887,1.002063170764639,1.4593445728291852,2.9224482616269785,0.0,0.0,0.0,1683.0,1235.0,
1,392.9584,2.32e+12,7.41e+13,9.34e+12,1.0,0.0,724.4264004008278,1938.425937210759,0.08686173693528948,0.4864482136531585,1.77e+05,1.85e+05,1.68e+05,190328.20854564875,425993.83904562204,408020.2572675627,13067.042136947013,100000000.0,0.00017985931568357982,0.7543698868565349,0.5204063416164612,0.30088247113891586,0.6439062786121358,0.94,0.4758347282794736,0.15717786848563614,6.950845302924635e-05,0.0003451697896928698,1.0338717544189668,1.4814811553165317,2.929411869896362,0.0,0.0,0.0,1683.0,1235.0,
2,592.6385,2.46e+12,7.33e+13,9.11e+12,1.0,0.0,919.6131208179,2565.530639197811,0.10926352600974956,0.5653846733953765,1.73e+05,1.91e+05,1.68e+05,185267.90622039977,446445.345367345,395350.800465117,27850.56951143594,100000000.0,5.554848689804936e-05,0.7541860245355222,0.5199229184327553,0.29597961119193883,0.7597714393293169,0.94,0.31230258644563347,0.1145463826893653,4.833300242535728e-05,0.0005253508988160417,1.0088727506997555,1.4627138936090505,3.1180253750488047,0.0,0.0,0.0,1683.0,1235.0,
3,801.0411,2.46e+12,7.33e+13,9.11e+12,1.0,0.0,919.6131208179,2565.530639197811,0.10926352600974956,0.5653846733953765,1.73e+05,1.91e+05,1.68e+05,185267.90622039977,446445.345367345,395350.800465117,27850.56951143594,100000000.0,5.554848689804936e-05,0.7541860245355222,0.5199229184327553,0.29597961119193883,0.7597714393293169,0.94,0.31230258644563347,0.1145463826893653,4.833300242535728e-05,0.0005253508988160417,1.0088727506997555,1.4627138936090505,3.1180253750488047,0.0,0.0,0.0,1683.0,1235.0,
4,1012.7381,2.46e+12,7.33e+13,9.11e+12,1.0,0.0,919.6131208179,2565.530639197811,0.10926352600974956,0.5653846733953765,1.73e+05,1.91e+05,1.68e+05,185267.90622039977,446445.345367345,395350.800465117,27850.56951143594,100000000.0,5.554848689804936e-05,0.7541860245355222,0.5199229184327553,0.29597961119193883,0.7597714393293169,0.94,0.31230258644563347,0.1145463826893653,4.833300242535728e-05,0.0005253508988160417,1.0088727506997555,1.4627138936090505,3.1180253750488047,0.0,0.0,0.0,1683.0,1235.0,
5,1224.3380,2.46e+12,7.33e+13,9.11e+12,1.0,0.0,919.6131208179,2565.530639197811,0.10926352600974956,0.5653846733953765,1.73e+05,1.91e+05,1.68e+05,185267.90622039977,446445.345367345,395350.800465117,27850.56951143594,100000000.0,5.554848689804936e-05,0.7541860245355222,0.5199229184327553,0.29597961119193883,0.7597714393293169,0.94,0.31230258644563347,0.1145463826893653,4.833300242535728e-05,0.0005253508988160417,1.0088727506997555,1.4627138936090505,3.1180253750488047,0.0,0.0,0.0,1683.0,1235.0,
6,1435.2868,2.46e+12,7.33e+13,9.11e+12,1.0,0.0,919.6131208179,2565.530639197811,0.10926352600974956,0.5653846733953765,1.73e+05,1.91e+05,1.68e+05,185267.90622039977,446445.345367345,395350.800465117,27850.56951143594,100000000.0,5.554848689804936e-05,0.7541860245355222,0.5199229184327553,0.29597961119193883,0.7597714393293169,0.94,0.31230258644563347,0.1145463826893653,4.833300242535728e-05,0.0005253508988160417,1.0088727506997555,1.4627138936090505,3.1180253750488047,0.0,0.0,0.0,1683.0,1235.0,
7,1656.7597,2.45e+12,7.41e+13,8.94e+12,1.0,0.0,782.6413738184999,2169.877244844858,0.09224802830367604,0.572082557255251,1.71e+05,1.90e+05,1.66e+05,153643.6214950381,409110.94777226984,404918.48693049746,20314.59662448334,100000000.0,3.841019863127443e-05,0.74951384244339,0.5119814295490138,0.30096450136627406,0.6544129909632497,0.94,0.2757610134904988,0.0853538032833186,4.766028969955154e-05,0.0004712729459953221,1.0115744751358506,1.488182044101742,3.065212557199821,0.0,0.0,0.0,1683.0,1235.0,
8,1884.4585,2.48e+12,7.39e+13,8.98e+12,1.0,0.0,772.8311400667264,2282.246719903883,0.08528714032981602,0.5789691847742902,1.71e+05,1.89e+05,1.65e+05,152193.12585250643,418234.68839999934,403919.33723788906,21874.01884569996,100000000.0,3.198086206941017e-05,0.7529163600018514,0.5131661125485067,0.30018946916653644,0.6475265829114193,0.94,0.24330194072900063,0.08727961908170143,4.811121858133329e-05,0.00046968659826552683,1.018060329501865,1.4736902712503195,3.069727773171853,0.0,0.0,0.0,1683.0,1235.0,
